stock,endDate,capitalExpenditures,changeToNetincome,otherCashflowsFromFinancingActivities,changeToAccountReceivables,changeToInventory,dividendsPaid,otherCashflowsFromInvestingActivities,depreciation,totalCashFromOperatingActivities,effectOfExchangeRate,repurchaseOfStock,changeInCash,netIncome,changeToOperatingActivities,totalCashFromFinancingActivities,netBorrowings,totalCashflowsFromInvestingActivities,changeToLiabilities,issuanceOfStock,investments,
LOW,2019-02-01,1174000000,1667000000,5000000,,1289000000,1455000000,,1454000000,6193000000,12000000,3037000000,77000000,2314000000,327000000,5124000000,741000000,1080000000,1720000000,114000000,20000000,#REF!
LOW,2018-02-02,1123000000,574000000,10000000,,791000000,1288000000,,1540000000,5065000000,13000000,3192000000,30000000,3447000000,387000000,3607000000,744000000,1441000000,92000000,139000000,133000000,#REF!
LOW,2017-02-03,1167000000,563000000,75000000,,178000000,1121000000,,1590000000,5617000000,11000000,3595000000,153000000,3093000000,104000000,2092000000,2560000000,3361000000,653000000,139000000,62000000,#REF!
LOW,2020-05-01,328000000,206000000,,1183000000,420000000,22000000,373000000,4450000000,15000000,966000000,5239000000,1337000000,510000000,1092000000,2477000000,288000000,3207000000,4000000,37000000,3000000,#REF!
LOW,2020-01-31,557000000,462000000,,529000000,423000000,22000000,358000000,185000000,15000000,664000000,78000000,510000000,514000000,243000000,1284000000,506000000,1160000000,40000000,41000000,6000000,#REF!
LOW,2019-11-01,401000000,225000000,,24000000,428000000,1000000,345000000,528000000,2000000,879000000,1002000000,1049000000,436000000,1127000000,174000000,405000000,679000000,6000000,34000000,6000000,#REF!
LOW,2019-08-02,321000000,162000000,,1325000000,382000000,1000000,347000000,1446000000,1000000,1944000000,1177000000,1676000000,67000000,2297000000,13000000,327000000,1997000000,40000000,24000000,2000000,#REF!
MA,2019-12-31,422000000,1000000,214000000,690000000,,1345000000,4000000,621000000,8183000000,44000000,6658000000,632000000,8118000000,766000000,5867000000,2224000000,1640000000,42000000,126000000,532000000,#REF!
MA,2018-12-31,330000000,17000000,4000000,1395000000,,1044000000,14000000,459000000,6223000000,6000000,5013000000,745000000,5859000000,121000000,4966000000,991000000,506000000,101000000,104000000,12000000,#REF!
MA,2017-12-31,300000000,488000000,6000000,726000000,,942000000,1000000,437000000,5664000000,200000000,3809000000,681000000,3915000000,310000000,4764000000,64000000,1781000000,290000000,57000000,182000000,#REF!
MA,2016-12-31,215000000,110000000,46000000,348000000,,837000000,2000000,373000000,4637000000,50000000,3562000000,1080000000,4059000000,561000000,2344000000,1972000000,1163000000,145000000,37000000,783000000,#REF!
MA,2020-03-31,131000000,272000000,1828000000,,403000000,352000000,144000000,1859000000,88000000,1514000000,3364000000,1693000000,2213000000,2100000000,3959000000,507000000,102000000,31000000,54000000,27000000,#REF!
MA,2019-12-31,116000000,193000000,241000000,,333000000,2000000,245000000,2980000000,59000000,994000000,1997000000,2100000000,1012000000,582000000,744000000,460000000,6000000,19000000,3000000,18000000,#REF!
MA,2019-09-30,132000000,135000000,1025000000,,335000000,2000000,137000000,2355000000,77000000,1803000000,473000000,2108000000,676000000,2125000000,744000000,626000000,69000000,16000000,40000000,3000000,#REF!
MA,2019-06-30,91000000,42000000,130000000,,337000000,9000000,122000000,1536000000,28000000,1921000000,140000000,2048000000,657000000,937000000,1480000000,767000000,83000000,37000000,129000000,196000000,#REF!
MCD,2019-12-31,2393700000,180300000,23500000,27000000,128800000,3581900000,628500000,1617900000,8122100000,23700000,4976200000,32500000,6025400000,3900000,4994800000,3236300000,3071100000,26800000,350500000,,#REF!
MCD,2018-12-31,2741700000,33100000,20000000,479400000,1900000,3255900000,302900000,1482000000,6966700000,159800000,5207700000,1597800000,5924300000,87400000,5949600000,2130800000,2455100000,129400000,403200000,,#REF!
MCD,2017-12-31,1853700000,24000000,20500000,340700000,37300000,3089200000,245900000,1363400000,5551200000,264000000,4685700000,1240400000,5192300000,146400000,5310800000,2027800000,562000000,59700000,456800000,,#REF!
MCD,2016-12-31,1821100000,310400000,3000000,159000000,28100000,3058200000,109500000,1516500000,6059600000,103700000,11171000000,6462100000,4686500000,38400000,11262400000,2670400000,981600000,89800000,299400000,,#REF!
MCD,2020-03-31,482500000,214400000,,,930700000,57800000,421300000,1546000000,79300000,902600000,4481300000,1106900000,196600000,3533000000,5388500000,518400000,0,99300000,,121500000,#REF!
MCD,2019-12-31,731900000,102800000,,,935200000,98800000,413600000,1889300000,80700000,1444900000,278800000,1572200000,296100000,1441800000,911200000,807000000,26800000,27100000,,121500000,#REF!
MCD,2019-09-30,548700000,43900000,,,876900000,73600000,413400000,2286700000,73500000,1467800000,42800000,1607900000,221500000,1577600000,706400000,592800000,0,73400000,,12700000,#REF!
MCD,2019-06-30,597800000,101800000,,,883000000,54900000,398300000,1925500000,16000000,1067400000,1154600000,1516900000,91500000,2196100000,385600000,900000000,0,139400000,,500000,#REF!
MDLZ,2019-12-31,925000000,504000000,313000000,124000000,31000000,1542000000,,1047000000,3965000000,10000000,1480000000,228000000,3870000000,607000000,2787000000,78000000,960000000,4000000,,,#REF!
MDLZ,2018-12-31,1095000000,147000000,211000000,257000000,204000000,1359000000,,811000000,3948000000,56000000,2020000000,339000000,3381000000,386000000,2329000000,839000000,1224000000,236000000,,,#REF!
MDLZ,2017-12-31,1014000000,58000000,207000000,24000000,18000000,1198000000,,816000000,2593000000,89000000,2174000000,980000000,2828000000,956000000,3361000000,196000000,301000000,5000000,,,#REF!
MDLZ,2016-12-31,1224000000,586000000,129000000,31000000,62000000,1094000000,,823000000,2838000000,76000000,2601000000,129000000,1635000000,708000000,1862000000,1704000000,1029000000,409000000,,,#REF!
MDLZ,2020-03-31,214000000,91000000,610000000,48000000,408000000,26000000,256000000,284000000,60000000,720000000,624000000,753000000,364000000,455000000,1467000000,55000000,206000000,,185000000,116000000,#REF!
MDLZ,2019-12-31,239000000,108000000,341000000,250000000,411000000,26000000,270000000,2083000000,34000000,337000000,209000000,726000000,125000000,2101000000,1338000000,225000000,263000000,,185000000,15000000,#REF!
MDLZ,2019-09-30,221000000,609000000,352000000,74000000,378000000,26000000,260000000,836000000,32000000,203000000,289000000,1423000000,17000000,47000000,474000000,468000000,171000000,,185000000,60000000,#REF!
MDLZ,2019-06-30,200000000,88000000,705000000,109000000,373000000,26000000,259000000,581000000,9000000,294000000,294000000,807000000,702000000,840000000,284000000,44000000,291000000,,185000000,111000000,#REF!
MDT,2020-04-24,1213000000,279000000,81000000,1291000000,577000000,2894000000,37000000,2663000000,7234000000,86000000,1326000000,253000000,4789000000,609000000,4198000000,559000000,3203000000,44000000,662000000,1465000000,#REF!
MDT,2019-04-26,1134000000,807000000,14000000,581000000,274000000,2693000000,36000000,2462000000,7007000000,78000000,2877000000,724000000,4724000000,624000000,5431000000,867000000,774000000,296000000,992000000,2151000000,#REF!
MDT,2018-04-27,1068000000,901000000,94000000,275000000,192000000,2494000000,22000000,2644000000,4684000000,114000000,2171000000,1298000000,3011000000,229000000,11954000000,7598000000,5858000000,168000000,403000000,1027000000,#REF!
MDT,2017-04-28,1254000000,204000000,26000000,75000000,227000000,2376000000,22000000,2917000000,6880000000,65000000,3544000000,2091000000,4028000000,85000000,3283000000,2183000000,1571000000,356000000,428000000,985000000,#REF!
MDT,2020-04-24,336000000,358000000,1410000000,231000000,724000000,3000000,672000000,1450000000,74000000,118000000,431000000,646000000,542000000,1310000000,538000000,365000000,147000000,77000000,993000000,7000000,#REF!
MDT,2020-01-24,293000000,434000000,158000000,79000000,723000000,18000000,663000000,2407000000,14000000,246000000,253000000,1915000000,103000000,873000000,37000000,1801000000,397000000,153000000,1492000000,20000000,#REF!
MDT,2019-10-25,283000000,68000000,280000000,145000000,723000000,11000000,671000000,1867000000,28000000,629000000,1118000000,1364000000,10000000,1741000000,604000000,1216000000,335000000,222000000,866000000,7000000,#REF!
MDT,2019-07-26,301000000,581000000,319000000,122000000,724000000,5000000,657000000,1510000000,2000000,333000000,687000000,864000000,160000000,274000000,620000000,551000000,629000000,210000000,100000000,47000000,#REF!
MMC,2019-12-31,421000000,468000000,1093000000,130000000,,880000000,76000000,962000000,2361000000,93000000,574000000,89000000,1742000000,843000000,3306000000,5695000000,5671000000,120000000,158000000,92000000,#REF!
MMC,2018-12-31,314000000,586000000,189000000,78000000,,800000000,8000000,494000000,2428000000,168000000,742000000,139000000,1650000000,207000000,1310000000,328000000,1089000000,23000000,93000000,4000000,#REF!
MMC,2017-12-31,302000000,536000000,164000000,454000000,,734000000,6000000,481000000,1893000000,251000000,949000000,179000000,1492000000,286000000,1009000000,672000000,956000000,87000000,166000000,13000000,#REF!
MMC,2016-12-31,253000000,166000000,119000000,154000000,,682000000,4000000,438000000,2007000000,232000000,839000000,348000000,1768000000,245000000,1067000000,385000000,1056000000,55000000,188000000,2000000,#REF!
MMC,2020-03-31,118000000,83000000,313000000,,232000000,9000000,263000000,638000000,132000000,112000000,325000000,754000000,1376000000,1340000000,1690000000,245000000,140000000,44000000,57000000,50000000,#REF!
MMC,2019-12-31,137000000,116000000,46000000,,225000000,25000000,246000000,1070000000,70000000,185000000,58000000,391000000,195000000,1031000000,44000000,167000000,246000000,26000000,10000000,603000000,#REF!
MMC,2019-09-30,123000000,91000000,353000000,,233000000,4000000,255000000,1050000000,70000000,202000000,81000000,303000000,89000000,987000000,527000000,74000000,155000000,24000000,9000000,49000000,#REF!
MMC,2019-06-30,88000000,254000000,128000000,,212000000,45000000,268000000,517000000,46000000,101000000,6182000000,332000000,69000000,1502000000,941000000,5243000000,50000000,31000000,84000000,279000000,#REF!
MMM,2019-12-31,1699000000,104000000,197000000,345000000,370000000,3316000000,72000000,1593000000,7070000000,2000000,1407000000,500000000,4570000000,,1124000000,3249000000,6444000000,117000000,547000000,192000000,#REF!
MMM,2018-12-31,1577000000,126000000,56000000,305000000,509000000,3193000000,9000000,1488000000,6439000000,160000000,4870000000,200000000,5349000000,,6701000000,933000000,222000000,408000000,485000000,669000000,#REF!
MMM,2017-12-31,1373000000,314000000,121000000,245000000,387000000,2803000000,6000000,1337000000,6240000000,156000000,2068000000,655000000,4858000000,,2655000000,1603000000,3086000000,24000000,734000000,798000000,#REF!
MMM,2016-12-31,1420000000,145000000,42000000,313000000,57000000,2678000000,4000000,1474000000,6662000000,33000000,3753000000,600000000,5050000000,,4626000000,1043000000,1403000000,148000000,804000000,163000000,#REF!
MMM,2020-03-31,332000000,249000000,143000000,207000000,847000000,,440000000,1213000000,46000000,365000000,1900000000,1292000000,,1108000000,2207000000,375000000,12000000,149000000,111000000,36000000,#REF!
MMM,2019-12-31,538000000,69000000,359000000,115000000,828000000,,463000000,2338000000,34000000,164000000,5378000000,969000000,,2451000000,1530000000,5299000000,105000000,110000000,540000000,39000000,#REF!
MMM,2019-09-30,349000000,425000000,244000000,180000000,828000000,,379000000,2022000000,34000000,142000000,4882000000,1583000000,,2804000000,3826000000,90000000,49000000,72000000,94000000,124000000,#REF!
MMM,2019-06-30,421000000,419000000,180000000,253000000,830000000,,376000000,1662000000,6000000,400000000,89000000,1127000000,,1735000000,638000000,10000000,170000000,150000000,396000000,17000000,#REF!
MO,2019-12-31,246000000,8957000000,119000000,8000000,42000000,6069000000,173000000,226000000,7837000000,,845000000,727000000,1293000000,97000000,4712000000,2321000000,2398000000,79000000,,1904000000,#REF!
MO,2018-12-31,238000000,126000000,132000000,8000000,129000000,5415000000,65000000,227000000,8391000000,,1673000000,119000000,6963000000,959000000,4716000000,11936000000,12988000000,27000000,,12800000000,#REF!
MO,2017-12-31,199000000,3676000000,47000000,10000000,171000000,4807000000,147000000,209000000,4901000000,,2917000000,3337000000,10222000000,1344000000,7771000000,11936000000,467000000,55000000,,12800000000,#REF!
MO,2016-12-31,189000000,10347000000,830000000,27000000,34000000,4512000000,516000000,204000000,3826000000,,1030000000,2205000000,14239000000,2000000,5329000000,1043000000,3708000000,24000000,,1578000000,#REF!
MO,2020-03-31,52000000,410000000,5000000,5000000,1563000000,,65000000,3129000000,,,3504000000,1552000000,652000000,427000000,2000000000,52000000,45000000,,,10000000,#REF!
MO,2019-12-31,86000000,3786000000,13000000,105000000,1571000000,,63000000,2563000000,,,515000000,1809000000,622000000,2062000000,2000000000,14000000,78000000,,,8000000,#REF!
MO,2019-09-30,81000000,4640000000,13000000,51000000,1497000000,,57000000,2882000000,,,191000000,2600000000,636000000,2637000000,1144000000,436000000,18000000,,,4000000,#REF!
MO,2019-06-30,41000000,56000000,5000000,121000000,1499000000,,53000000,103000000,,,1619000000,1996000000,1755000000,1696000000,1144000000,26000000,14000000,,,2000000,#REF!
MRK,2019-12-31,3473000000,2245000000,5000000,294000000,508000000,5695000000,378000000,3419000000,13440000000,17000000,4780000000,1967000000,9843000000,107000000,8861000000,1248000000,2629000000,399000000,361000000,5420000000,#REF!
MRK,2018-12-31,2615000000,1735000000,325000000,418000000,911000000,5172000000,102000000,4520000000,10922000000,205000000,9091000000,1871000000,6220000000,1281000000,13160000000,837000000,4314000000,230000000,591000000,7258000000,#REF!
MRK,2017-12-31,1888000000,4458000000,195000000,297000000,145000000,5167000000,38000000,4616000000,6451000000,457000000,4014000000,419000000,2394000000,2132000000,10006000000,1129000000,2679000000,254000000,499000000,4925000000,#REF!
MRK,2016-12-31,1614000000,3813000000,118000000,619000000,206000000,5124000000,482000000,5244000000,10376000000,131000000,3434000000,2009000000,3920000000,2590000000,9044000000,1307000000,3210000000,278000000,939000000,1298000000,#REF!
MRK,2020-03-31,986000000,386000000,,,1551000000,136000000,768000000,707000000,63000000,1281000000,2474000000,3219000000,3666000000,1490000000,1632000000,1628000000,0,26000000,1767000000,316000000,#REF!
MRK,2019-12-31,1137000000,160000000,,,1405000000,58000000,876000000,4794000000,43000000,1050000000,2063000000,2356000000,3576000000,2011000000,182000000,763000000,399000000,17000000,341000000,245000000,#REF!
MRK,2019-09-30,959000000,1611000000,,,1394000000,235000000,804000000,4226000000,54000000,1405000000,1211000000,1901000000,91000000,3152000000,360000000,191000000,0,40000000,1954000000,33000000,#REF!
MRK,2019-06-30,782000000,18000000,,,1468000000,47000000,875000000,3084000000,8000000,1235000000,1417000000,2670000000,443000000,2084000000,603000000,2425000000,0,131000000,2200000000,115000000,#REF!
MS,2019-12-31,1826000000,1480000000,2366000000,233000000,,2627000000,953000000,2643000000,40773000000,271000000,5954000000,5025000000,9042000000,21101000000,11966000000,6248000000,33561000000,19942000000,,13423000000,#REF!
MS,2018-12-31,1865000000,1688000000,28094000000,728000000,,2375000000,298000000,1844000000,7305000000,1828000000,5566000000,6801000000,8748000000,14916000000,24205000000,4052000000,22881000000,13063000000,,11924000000,#REF!
MS,2017-12-31,1629000000,4060000000,3626000000,9315000000,,2085000000,251000000,1753000000,4505000000,3670000000,4292000000,3035000000,6111000000,18467000000,16261000000,18018000000,12391000000,2007000000,,1614000000,#REF!
MS,2016-12-31,1276000000,2901000000,321000000,371000000,,1746000000,200000000,1736000000,5383000000,1430000000,3933000000,8192000000,5979000000,17304000000,7363000000,13363000000,19508000000,1913000000,,8828000000,#REF!
MS,2020-03-31,354000000,1687000000,23619000000,,688000000,93000000,824000000,23836000000,1344000000,1782000000,49338000000,1698000000,12414000000,47954000000,5893000000,21108000000,4247000000,,7418000000,44531000000,#REF!
MS,2019-12-31,366000000,536000000,5368000000,,545000000,105000000,656000000,136000000,1277000000,1507000000,2515000000,2239000000,24548000000,9214000000,1033000000,7840000000,2779000000,,89000000,9736000000,#REF!
MS,2019-09-30,452000000,335000000,5183000000,,670000000,72000000,654000000,13337000000,1443000000,1538000000,76000000,2173000000,10256000000,3919000000,5674000000,7899000000,11199000000,,2182000000,3963000000,#REF!
MS,2019-06-30,479000000,333000000,1519000000,,749000000,764000000,675000000,10531000000,359000000,1264000000,1102000000,2201000000,28646000000,1397000000,3804000000,10595000000,1551000000,,5795000000,3188000000,#REF!
MSFT,2019-06-30,13925000000,2521000000,675000000,2812000000,597000000,13811000000,,11600000000,52185000000,115000000,19543000000,590000000,39240000000,1542000000,36887000000,4000000000,15773000000,4694000000,1142000000,540000000,#REF!
MSFT,2018-06-30,11632000000,3054000000,971000000,3862000000,465000000,12699000000,,9900000000,43884000000,50000000,10721000000,4283000000,16571000000,459000000,33590000000,10201000000,6061000000,7070000000,1002000000,6557000000,#REF!
MSFT,2017-06-30,8129000000,1342000000,190000000,1216000000,50000000,11845000000,,7800000000,39507000000,19000000,11788000000,1153000000,25489000000,349000000,8408000000,31459000000,46781000000,3901000000,772000000,12511000000,#REF!
MSFT,2016-06-30,8343000000,6229000000,369000000,562000000,600000000,11006000000,,5878000000,33325000000,67000000,15969000000,915000000,20539000000,2907000000,8393000000,18283000000,23950000000,2653000000,668000000,14417000000,#REF!
MSFT,2020-03-31,3767000000,1184000000,891000000,181000000,3876000000,,3118000000,17504000000,64000000,7059000000,2846000000,10752000000,803000000,14645000000,3000000000,51000000,190000000,342000000,4147000000,1052000000,#REF!
MSFT,2019-12-31,3545000000,1084000000,4203000000,799000000,3886000000,,3203000000,10680000000,18000000,5206000000,4253000000,11649000000,1562000000,8915000000,18000000,6036000000,2943000000,234000000,2411000000,39000000,#REF!
MSFT,2019-09-30,3385000000,1096000000,10090000000,561000000,3510000000,,2971000000,13818000000,72000000,4912000000,1761000000,10678000000,3681000000,10209000000,2500000000,1776000000,3439000000,427000000,2071000000,286000000,#REF!
MSFT,2019-06-30,4051000000,4773000000,10070000000,113000000,3521000000,,2842000000,16108000000,21000000,4633000000,144000000,13187000000,958000000,8686000000,1000000000,7257000000,10269000000,308000000,2925000000,160000000,#REF!
NEE,2019-12-31,17462000000,469000000,1159000000,,,2408000000,122000000,4478000000,8155000000,4000000,,4145000000,3769000000,377000000,3873000000,3628000000,16177000000,0,1494000000,,#REF!
NEE,2018-12-31,13004000000,3587000000,1448000000,,,2101000000,200000000,4147000000,6593000000,7000000,,3270000000,6638000000,605000000,7634000000,7569000000,10950000000,0,718000000,,#REF!
NEE,2017-12-31,10740000000,1906000000,689000000,,,1845000000,183000000,2638000000,6458000000,26000000,,454000000,5380000000,346000000,2888000000,3441000000,8918000000,0,55000000,,#REF!
NEE,2016-12-31,9636000000,292000000,1420000000,,,1612000000,932000000,3428000000,6369000000,10000000,,757000000,2906000000,257000000,2424000000,2079000000,8046000000,0,537000000,,#REF!
NEE,2020-03-31,3284000000,725000000,,,685000000,149000000,922000000,1894000000,6000000,,2726000000,421000000,174000000,3961000000,4727000000,3135000000,0,,,81000000,#REF!
NEE,2019-12-31,3849000000,510000000,,,611000000,25000000,1041000000,1912000000,2000000,,450000000,975000000,406000000,1350000000,1225000000,3714000000,0,,,730000000,#REF!
NEE,2019-09-30,3713000000,514000000,,,600000000,133000000,1313000000,2962000000,6000000,,145000000,879000000,255000000,471000000,307000000,3572000000,0,,,84000000,#REF!
NEE,2019-06-30,2871000000,866000000,,,599000000,70000000,1262000000,1684000000,1000000,,362000000,1234000000,54000000,625000000,606000000,1946000000,0,,,612000000,#REF!
NFLX,2019-12-31,253035000,14117107000,36134000,,,,134029000,103579000,2887322000,469000,,1231745000,1866916000,216866000,4505662000,4469306000,387064000,259909000,72490000,,#REF!
NFLX,2018-12-31,173946000,11800733000,37827000,,,,165174000,83157000,2680479000,39682000,,989246000,1211242000,47708000,4048527000,3961852000,339120000,341475000,124502000,,#REF!
NFLX,2017-12-31,173302000,8673582000,31898000,,,,60409000,71911000,1785948000,29848000,,1355219000,558929000,193556000,3076990000,3020510000,34329000,252533000,88378000,,#REF!
NFLX,2016-12-31,107653000,6778020000,54651000,,,,941000,57528000,1473984000,9165000,,341754000,186678000,63382000,1091630000,1000000000,49765000,128998000,36979000,,#REF!
NFLX,2020-03-31,98015000,2919304000,,,,288000,28517000,259912000,70902000,,134401000,709067000,45392000,43694000,,98303000,87145000,43694000,,,#REF!
NFLX,2019-12-31,107737000,4396709000,,,,121436000,27818000,1461975000,29810000,,584065000,586970000,476990000,2223801000,,207571000,240086000,15633000,,,#REF!
NFLX,2019-09-30,45333000,3711553000,,,,613000,26704000,501794000,29325000,,568484000,665244000,216094000,11989000,,49354000,15086000,11989000,,,#REF!
NFLX,2019-06-30,39584000,3083827000,,,,2654000,25496000,543754000,4998000,,1658108000,270650000,77055000,2246900000,,50036000,81411000,21896000,,,#REF!
NKE,2019-05-31,1119000000,592000000,,270000000,490000000,1332000000,,720000000,5903000000,129000000,4303000000,217000000,4029000000,203000000,5293000000,358000000,264000000,1525000000,700000000,850000000,#REF!
NKE,2018-05-31,1028000000,766000000,,187000000,255000000,1243000000,,774000000,4955000000,45000000,4309000000,441000000,1933000000,35000000,4835000000,16000000,276000000,1515000000,733000000,1326000000,#REF!
NKE,2017-05-31,1105000000,175000000,,426000000,231000000,1133000000,,716000000,3846000000,20000000,3252000000,670000000,4240000000,120000000,2148000000,1748000000,1008000000,158000000,489000000,118000000,#REF!
NKE,2016-05-31,1143000000,254000000,,60000000,590000000,1022000000,,662000000,3399000000,105000000,3260000000,714000000,3760000000,161000000,2974000000,801000000,1034000000,586000000,507000000,57000000,#REF!
NKE,2020-02-29,275000000,220000000,93000000,153000000,382000000,139000000,134000000,1180000000,25000000,944000000,207000000,847000000,427000000,1442000000,291000000,30000000,160000000,195000000,166000000,20000000,#REF!
NKE,2019-11-30,238000000,25000000,112000000,338000000,344000000,139000000,187000000,912000000,10000000,922000000,376000000,1115000000,105000000,858000000,50000000,440000000,190000000,372000000,202000000,14000000,#REF!
NKE,2019-08-31,284000000,87000000,456000000,270000000,345000000,109000000,175000000,394000000,56000000,999000000,1020000000,1367000000,38000000,1010000000,241000000,348000000,547000000,111000000,45000000,18000000,#REF!
NKE,2019-05-31,273000000,81000000,190000000,264000000,346000000,109000000,184000000,2010000000,70000000,881000000,771000000,989000000,36000000,1026000000,12000000,143000000,866000000,213000000,130000000,18000000,#REF!
NOC,2019-12-31,1264000000,1606000000,6000000,213000000,135000000,880000000,57000000,1018000000,4297000000,,809000000,666000000,2248000000,781000000,2424000000,729000000,1207000000,617000000,,,#REF!
NOC,2018-12-31,1249000000,946000000,28000000,95000000,37000000,821000000,28000000,800000000,3827000000,,1348000000,9646000000,3229000000,1139000000,4595000000,2398000000,8878000000,381000000,,,#REF!
NOC,2017-12-31,928000000,500000000,98000000,631000000,25000000,689000000,39000000,475000000,2613000000,,485000000,8684000000,2869000000,1038000000,6960000000,8232000000,889000000,570000000,,,#REF!
NOC,2016-12-31,920000000,858000000,9000000,165000000,53000000,640000000,115000000,456000000,2813000000,,1700000000,222000000,2043000000,492000000,1786000000,563000000,805000000,18000000,,,#REF!
NOC,2020-03-31,272000000,242000000,1394000000,2000000,227000000,2000000,297000000,993000000,,407000000,1033000000,868000000,181000000,2296000000,2976000000,270000000,833000000,,,46000000,#REF!
NOC,2019-12-31,471000000,1353000000,1228000000,21000000,222000000,49000000,281000000,2464000000,,302000000,1118000000,409000000,278000000,924000000,399000000,422000000,297000000,,,1000000,#REF!
NOC,2019-09-30,257000000,58000000,399000000,21000000,223000000,7000000,258000000,1139000000,,213000000,39000000,933000000,170000000,850000000,411000000,250000000,687000000,,,3000000,#REF!
NOC,2019-06-30,252000000,99000000,435000000,32000000,224000000,3000000,245000000,1607000000,,173000000,240000000,861000000,168000000,1112000000,713000000,255000000,113000000,,,2000000,#REF!
NOW,2019-12-31,264892000,77509000,,259835000,,,23435000,252114000,1235972000,186000,409715000,209453000,626698000,220415000,301856000,9000,724477000,558604000,107868000,402917000,#REF!
NOW,2018-12-31,224462000,351344000,,146148000,,,23435000,149604000,811089000,15530000,281010000,159291000,26704000,177197000,607428000,430578000,347422000,464099000,104160000,61120000,#REF!
NOW,2017-12-31,150510000,387375000,,99693000,,,23435000,113875000,642940000,28013000,236938000,325897000,116846000,158008000,538892000,767209000,883948000,363738000,82567000,668565000,#REF!
NOW,2016-12-31,105562000,320760000,,126415000,,,210000,83082000,159081000,5945000,119907000,10854000,414249000,88525000,55752000,2223000,108238000,281585000,66378000,50371000,#REF!
NOW,2020-03-31,83207000,188747000,208789000,,,3620000,76238000,491568000,10649000,125700000,34857000,48231000,169014000,61028000,2236000,385034000,80526000,66908000,215259000,,#REF!
NOW,2019-12-31,79003000,407172000,288166000,,,1693000,72331000,421211000,6253000,78913000,152451000,598724000,1830000,76281000,9000,198732000,393061000,2641000,78679000,,#REF!
NOW,2019-09-30,88869000,161867000,43023000,,,371000,64006000,210178000,7725000,83183000,38842000,40598000,104596000,41256000,9000,122355000,40260000,41927000,31915000,,#REF!
NOW,2019-06-30,49896000,166120000,79751000,,,35000,60328000,243735000,207000,108126000,56494000,11079000,2523000,97919000,9000,202517000,57351000,10207000,116426000,,#REF!
NVDA,2020-01-26,489000000,867000000,,233000000,597000000,390000000,,381000000,4761000000,,551000000,10114000000,2796000000,159000000,792000000,,6145000000,194000000,149000000,6634000000,#REF!
NVDA,2019-01-27,600000000,197000000,,149000000,776000000,371000000,,262000000,3743000000,,2611000000,3220000000,4141000000,203000000,2866000000,,4097000000,135000000,137000000,3497000000,#REF!
NVDA,2018-01-28,593000000,71000000,,440000000,776000000,341000000,,199000000,3502000000,,1521000000,2236000000,3047000000,535000000,2544000000,,1278000000,90000000,139000000,1869000000,#REF!
NVDA,2017-01-29,176000000,498000000,,321000000,375000000,261000000,,187000000,1672000000,,915000000,1170000000,1666000000,167000000,291000000,,793000000,184000000,167000000,624000000,#REF!
NVDA,2020-04-26,155000000,244000000,249000000,151000000,98000000,,107000000,909000000,,222000000,4598000000,917000000,30000000,4744000000,4979000000,1055000000,71000000,88000000,866000000,3000000,#REF!
NVDA,2020-01-26,145000000,243000000,201000000,66000000,98000000,,106000000,1465000000,,88000000,1131000000,951000000,197000000,183000000,4979000000,151000000,103000000,3000000,6000000,3000000,#REF!
NVDA,2019-10-27,103000000,249000000,105000000,153000000,97000000,,92000000,1640000000,,202000000,2660000000,899000000,7000000,236000000,4979000000,1256000000,136000000,63000000,1359000000,3000000,#REF!
NVDA,2019-07-28,113000000,241000000,319000000,225000000,98000000,,92000000,936000000,,50000000,4333000000,552000000,66000000,148000000,4979000000,3545000000,78000000,63000000,3658000000,3000000,#REF!
ORCL,2019-05-31,1660000000,809000000,136000000,272000000,,2932000000,,2062000000,14551000000,158000000,36643000000,1106000000,11083000000,261000000,42056000000,4500000000,26557000000,204000000,2155000000,28580000000,#REF!
ORCL,2018-05-31,1736000000,879000000,34000000,267000000,,3140000000,,2027000000,15386000000,57000000,11853000000,164000000,3587000000,258000000,9982000000,2643000000,5625000000,24000000,2402000000,2165000000,#REF!
ORCL,2017-05-31,2021000000,1165000000,258000000,67000000,,2631000000,,2451000000,14126000000,86000000,3844000000,1632000000,9452000000,384000000,9086000000,13638000000,21494000000,777000000,2181000000,8252000000,#REF!
ORCL,2016-05-31,1189000000,1205000000,85000000,96000000,,2541000000,,1950000000,13685000000,115000000,10529000000,1564000000,8901000000,2000000,9980000000,1750000000,5154000000,663000000,1425000000,3315000000,#REF!
ORCL,2020-02-29,396000000,276000000,133000000,,768000000,,548000000,3012000000,34000000,4004000000,711000000,2571000000,80000000,4169000000,,480000000,354000000,615000000,876000000,12000000,#REF!
ORCL,2019-11-30,349000000,205000000,234000000,,767000000,,544000000,513000000,5000000,5036000000,6543000000,2311000000,157000000,8294000000,,1233000000,2182000000,301000000,1691000000,42000000,#REF!
ORCL,2019-08-31,386000000,492000000,1313000000,,795000000,,539000000,6000000000,15000000,5519000000,10569000000,2137000000,481000000,7802000000,,12386000000,948000000,316000000,12774000000,54000000,#REF!
ORCL,2019-05-31,413000000,147000000,1378000000,,806000000,,537000000,4422000000,73000000,6301000000,5794000000,3740000000,93000000,6461000000,,7906000000,1109000000,687000000,8352000000,41000000,#REF!
