stock,endDate,capitalExpenditures,changeToNetincome,otherCashflowsFromFinancingActivities,changeToAccountReceivables,changeToInventory,dividendsPaid,otherCashflowsFromInvestingActivities,depreciation,totalCashFromOperatingActivities,effectOfExchangeRate,repurchaseOfStock,changeInCash,netIncome,changeToOperatingActivities,totalCashFromFinancingActivities,netBorrowings,totalCashflowsFromInvestingActivities,changeToLiabilities,issuanceOfStock,investments,
GOOGL,2019-12-31,23548000000,7707000000,4545000000,4340000000,,,589000000,11651000000,54520000000,23000000,18396000000,1797000000,34343000000,7822000000,23209000000,268000000,29491000000,465000000,,4017000000,#REF!
GOOGL,2018-12-31,25139000000,3298000000,4043000000,2169000000,,,589000000,9029000000,47971000000,302000000,9075000000,5986000000,30736000000,7890000000,13179000000,61000000,28504000000,1438000000,,1972000000,#REF!
GOOGL,2017-12-31,13184000000,8284000000,3366000000,3768000000,,,1419000000,6899000000,37091000000,405000000,4846000000,2203000000,12662000000,3682000000,8298000000,86000000,31401000000,1121000000,,19448000000,#REF!
GOOGL,2016-12-31,10212000000,7158000000,3304000000,2578000000,,,1978000000,6100000000,36036000000,170000000,3693000000,3631000000,19478000000,2420000000,8332000000,1335000000,31165000000,333000000,,18229000000,#REF!
GOOGL,2020-03-31,6005000000,4465000000,2602000000,,,412000000,3108000000,11451000000,272000000,8496000000,1146000000,6836000000,4517000000,8186000000,49000000,1847000000,798000000,,3936000000,359000000,#REF!
GOOGL,2019-12-31,6052000000,1695000000,4365000000,,,121000000,3283000000,14427000000,68000000,6098000000,2466000000,10671000000,5481000000,7326000000,47000000,4703000000,1000000000,,3370000000,1181000000,#REF!
GOOGL,2019-09-30,6732000000,3793000000,1000000,,,379000000,2920000000,15466000000,122000000,5696000000,555000000,7068000000,1503000000,6954000000,145000000,8945000000,2000000,,2466000000,1113000000,#REF!
GOOGL,2019-06-30,6126000000,582000000,1146000000,,,89000000,2835000000,12627000000,13000000,3577000000,2561000000,9947000000,1479000000,4746000000,46000000,10455000000,27000000,,4236000000,1123000000,#REF!
GS,2019-12-31,8443000000,2729000000,35561000000,7693000000,,2104000000,,1704000000,23868000000,,6080000000,2999000000,8466000000,87344000000,3367000000,24008000000,24236000000,0,,11961000000,#REF!
GS,2018-12-31,7982000000,300000000,22500000000,6416000000,,1810000000,,1328000000,16564000000,,4412000000,20496000000,10459000000,22313000000,22752000000,7086000000,18820000000,0,,1323000000,#REF!
GS,2017-12-31,3184000000,7770000000,16187000000,26981000000,,1769000000,,1152000000,20489000000,,8995000000,11660000000,4286000000,2870000000,35206000000,29131000000,26377000000,0,,4350000000,#REF!
GS,2016-12-31,2865000000,2847000000,12173000000,14723000000,,1706000000,,998000000,6494000000,,7206000000,28272000000,7398000000,9974000000,12103000000,7533000000,9675000000,0,,1517000000,#REF!
GS,2020-03-31,2843000000,2331000000,7961000000,,538000000,,437000000,53031000000,,2732000000,28057000000,1213000000,28471000000,57310000000,32066000000,32336000000,0,,6325000000,28515000000,#REF!
GS,2019-12-31,2046000000,148000000,11432000000,,644000000,,464000000,51351000000,,2166000000,39452000000,1917000000,128936000000,7059000000,12769000000,4840000000,0,,696000000,8521000000,#REF!
GS,2019-09-30,2229000000,448000000,3919000000,,550000000,,473000000,8084000000,,681000000,3002000000,1877000000,1367000000,12812000000,1857000000,17894000000,0,,13565000000,16400000000,#REF!
GS,2019-06-30,2040000000,406000000,6348000000,,535000000,,399000000,9439000000,,1253000000,3208000000,2421000000,12561000000,6230000000,6992000000,1000000,0,,2088000000,2051000000,#REF!
HD,2020-02-02,2678000000,435000000,176000000,170000000,593000000,5958000000,12000000,2296000000,13723000000,119000000,6965000000,355000000,11242000000,135000000,10834000000,1985000000,2653000000,604000000,280000000,,#REF!
HD,2019-02-03,2442000000,426000000,26000000,33000000,1244000000,4704000000,14000000,2152000000,13038000000,19000000,9963000000,1817000000,11121000000,257000000,12420000000,2037000000,2416000000,849000000,236000000,,#REF!
HD,2018-01-28,1897000000,693000000,211000000,139000000,84000000,4212000000,4000000,2062000000,12031000000,124000000,8000000000,1057000000,8630000000,10000000,8870000000,3298000000,2228000000,572000000,255000000,,#REF!
HD,2017-01-29,1621000000,271000000,78000000,138000000,769000000,3404000000,4000000,1973000000,9783000000,8000000,6880000000,322000000,7957000000,48000000,7870000000,2274000000,1583000000,428000000,218000000,,#REF!
HD,2020-05-03,586000000,119000000,534000000,633000000,1611000000,,607000000,5737000000,46000000,791000000,6563000000,2245000000,62000000,1450000000,3959000000,578000000,3277000000,18000000,,125000000,#REF!
HD,2020-02-02,787000000,174000000,128000000,1195000000,1481000000,,595000000,3059000000,10000000,3056000000,60000000,2481000000,17000000,2356000000,2271000000,773000000,1459000000,95000000,,185000000,#REF!
HD,2019-11-03,645000000,43000000,40000000,978000000,1486000000,,594000000,2167000000,100000000,1290000000,354000000,2769000000,92000000,1990000000,679000000,631000000,498000000,28000000,,79000000,#REF!
HD,2019-08-04,565000000,41000000,53000000,776000000,1492000000,,560000000,3922000000,17000000,1251000000,665000000,3479000000,276000000,2713000000,17000000,561000000,168000000,123000000,,110000000,#REF!
HON,2019-12-31,839000000,378000000,79000000,11000000,100000000,2442000000,102000000,1088000000,6897000000,16000000,4400000000,220000000,6143000000,15000000,6600000000,177000000,533000000,118000000,498000000,211000000,#REF!
HON,2018-12-31,828000000,1733000000,2480000000,236000000,503000000,2272000000,402000000,1116000000,6434000000,201000000,4000000000,2228000000,6765000000,292000000,5032000000,1507000000,1027000000,733000000,267000000,1973000000,#REF!
HON,2017-12-31,1031000000,3869000000,143000000,682000000,259000000,2119000000,218000000,1115000000,5966000000,340000000,2889000000,784000000,1545000000,546000000,3516000000,1115000000,3574000000,924000000,520000000,2329000000,#REF!
HON,2016-12-31,1095000000,160000000,318000000,547000000,18000000,1915000000,282000000,1030000000,5498000000,114000000,2079000000,2388000000,4812000000,127000000,346000000,4249000000,3342000000,254000000,409000000,273000000,#REF!
HON,2020-03-31,139000000,468000000,41000000,163000000,635000000,287000000,243000000,939000000,189000000,1923000000,1346000000,1581000000,241000000,2446000000,84000000,350000000,54000000,66000000,195000000,38000000,#REF!
HON,2019-12-31,335000000,95000000,89000000,176000000,644000000,143000000,269000000,2614000000,65000000,750000000,1841000000,1562000000,216000000,4109000000,2781000000,411000000,207000000,73000000,111000000,7000000,#REF!
HON,2019-09-30,192000000,355000000,176000000,3000000,595000000,175000000,263000000,1471000000,81000000,1000000000,2683000000,1624000000,199000000,1072000000,2660000000,221000000,81000000,47000000,211000000,40000000,#REF!
HON,2019-06-30,171000000,92000000,100000000,52000000,597000000,110000000,295000000,1678000000,16000000,1900000000,400000000,1541000000,65000000,2328000000,62000000,266000000,21000000,233000000,319000000,2000000,#REF!
IBM,2019-12-31,2286000000,1945000000,98000000,502000000,67000000,5707000000,,6059000000,14770000000,167000000,1633000000,3290000000,9431000000,1159000000,9042000000,16284000000,26936000000,503000000,,268000000,#REF!
IBM,2018-12-31,3395000000,1485000000,112000000,1006000000,127000000,5666000000,,4480000000,15247000000,495000000,4614000000,630000000,8728000000,451000000,10469000000,301000000,4913000000,126000000,,554000000,#REF!
IBM,2017-12-31,3229000000,383000000,174000000,1297000000,18000000,5506000000,,4541000000,16724000000,937000000,4533000000,4161000000,5753000000,5451000000,6418000000,3447000000,7081000000,47000000,,1039000000,#REF!
IBM,2016-12-31,3567000000,526000000,204000000,712000000,14000000,5256000000,,4381000000,17084000000,51000000,3628000000,188000000,11872000000,462000000,5917000000,2763000000,10928000000,197000000,,161000000,#REF!
IBM,2020-03-31,630000000,505000000,,,1440000000,,1634000000,4476000000,403000000,44000000,3057000000,1175000000,1162000000,115000000,1356000000,902000000,0,,158000000,13000000,#REF!
IBM,2019-12-31,576000000,1585000000,,,1438000000,,1650000000,3451000000,185000000,86000000,1911000000,3670000000,350000000,5675000000,4181000000,128000000,503000000,,158000000,30000000,#REF!
IBM,2019-09-30,588000000,179000000,,,1436000000,,1669000000,3619000000,379000000,159000000,35309000000,1672000000,99000000,8177000000,6608000000,30373000000,0,,588000000,26000000,#REF!
IBM,2019-06-30,583000000,476000000,,,1436000000,,1294000000,2941000000,129000000,407000000,28262000000,2498000000,375000000,21031000000,22841000000,4162000000,0,,144000000,33000000,#REF!
INTC,2019-12-28,16213000000,123000000,72000000,935000000,1481000000,5576000000,715000000,10826000000,33145000000,,13576000000,1175000000,21048000000,2765000000,17565000000,765000000,14405000000,86000000,750000000,2140000000,#REF!
INTC,2018-12-29,15181000000,1204000000,288000000,1714000000,214000000,5541000000,272000000,9085000000,29432000000,,10730000000,414000000,21053000000,41000000,18607000000,2603000000,11239000000,1578000000,555000000,3856000000,#REF!
INTC,2017-12-30,11778000000,1612000000,194000000,781000000,1300000000,5072000000,730000000,8129000000,22110000000,,3615000000,2127000000,9601000000,1000000,8475000000,364000000,15762000000,1296000000,770000000,6661000000,#REF!
INTC,2016-12-31,9625000000,1269000000,554000000,65000000,119000000,4925000000,1268000000,7790000000,21808000000,,2587000000,9748000000,10316000000,685000000,5739000000,1219000000,25817000000,182000000,1108000000,1990000000,#REF!
INTC,2020-03-28,3268000000,583000000,796000000,548000000,1408000000,363000000,3050000000,6158000000,,4229000000,7186000000,5661000000,2575000000,4764000000,9172000000,3736000000,30000000,503000000,105000000,726000000,#REF!
INTC,2019-12-28,4666000000,772000000,779000000,105000000,1362000000,1290000000,2968000000,9888000000,,3523000000,259000000,6905000000,1361000000,5144000000,758000000,4485000000,140000000,503000000,62000000,1017000000,#REF!
INTC,2019-09-28,4672000000,136000000,646000000,67000000,1386000000,617000000,2679000000,10711000000,,4521000000,1068000000,5990000000,1968000000,5733000000,557000000,3910000000,67000000,492000000,1379000000,239000000,#REF!
INTC,2019-06-29,3554000000,644000000,725000000,931000000,1414000000,273000000,2554000000,7587000000,,3049000000,287000000,4179000000,852000000,4586000000,257000000,3288000000,19000000,15000000,7000000,119000000,#REF!
INTU,2019-07-31,76000000,409000000,8000000,11000000,,501000000,67000000,205000000,2324000000,3000000,807000000,721000000,1557000000,12000000,1034000000,2000000,566000000,129000000,284000000,365000000,#REF!
INTU,2018-07-31,38000000,462000000,1000000,5000000,,407000000,2000000,238000000,2112000000,11000000,471000000,930000000,1329000000,46000000,634000000,50000000,537000000,18000000,295000000,7000000,#REF!
INTU,2017-07-31,102000000,356000000,1000000,5000000,,353000000,23000000,224000000,1599000000,9000000,992000000,41000000,985000000,3000000,1632000000,512000000,17000000,64000000,226000000,190000000,#REF!
INTU,2016-07-31,416000000,73000000,6000000,20000000,,318000000,475000000,216000000,1460000000,2000000,2372000000,170000000,979000000,43000000,1999000000,500000000,371000000,169000000,197000000,418000000,#REF!
INTU,2020-04-30,39000000,63000000,384000000,,139000000,1000000,49000000,1937000000,10000000,69000000,1658000000,1084000000,85000000,254000000,13000000,15000000,100000000,39000000,23000000,72000000,#REF!
INTU,2020-01-31,30000000,111000000,500000000,,139000000,1000000,51000000,317000000,2000000,171000000,59000000,240000000,75000000,217000000,12000000,39000000,299000000,58000000,1000000,47000000,#REF!
INTU,2019-10-31,38000000,113000000,16000000,,141000000,19000000,51000000,127000000,2000000,211000000,509000000,57000000,243000000,325000000,13000000,57000000,73000000,63000000,2000000,23000000,#REF!
INTU,2019-07-31,53000000,138000000,176000000,,127000000,48000000,54000000,122000000,3000000,306000000,777000000,44000000,14000000,393000000,12000000,265000000,69000000,53000000,221000000,1000000,#REF!
ISRG,2019-12-31,425600000,327600000,12600000,38800000,360500000,,,199700000,1598200000,2200000,428600000,273200000,1379300000,47600000,168400000,,1154400000,47800000,272800000,669100000,#REF!
ISRG,2018-12-31,187400000,294700000,9700000,161300000,279000000,,,120100000,1169600000,100000,120000000,246200000,1127900000,14400000,126300000,,1049600000,71000000,236600000,774300000,#REF!
ISRG,2017-12-31,190700000,294600000,2000000,81400000,115500000,,,95000000,1143900000,2100000,2330600000,388400000,670900000,211700000,1913100000,,378700000,57700000,415500000,569400000,#REF!
ISRG,2016-12-31,53900000,267400000,2000000,34200000,46700000,,,88900000,1087000000,2100000,66500000,322000000,738300000,33200000,514400000,,1279400000,30000000,580900000,1225500000,#REF!
ISRG,2020-03-31,105200000,158000000,118200000,65200000,,,63400000,352800000,800000,248900000,56200000,313500000,261900000,178700000,,117100000,22700000,91300000,25800000,21100000,#REF!
ISRG,2019-12-31,142000000,98400000,11800000,67100000,,,60500000,552700000,700000,6200000,198000000,357700000,93800000,50800000,,406200000,17300000,67100000,236300000,10100000,#REF!
ISRG,2019-09-30,86700000,24800000,1700000,115400000,,,50900000,396300000,1600000,77400000,179300000,396800000,34100000,1200000,,216600000,100000,86100000,96900000,7500000,#REF!
ISRG,2019-06-30,82100000,99100000,85700000,84000000,,,46700000,316000000,100000,206400000,85400000,318300000,10600000,178600000,,222700000,7900000,30800000,143100000,3000000,#REF!
JNJ,2019-12-29,3498000000,2577000000,575000000,289000000,277000000,9917000000,382000000,7009000000,23416000000,9000000,6746000000,802000000,15119000000,371000000,18015000000,2881000000,6194000000,4060000000,954000000,533000000,#REF!
JNJ,2018-12-30,3670000000,28000000,148000000,1185000000,644000000,9494000000,464000000,6929000000,22201000000,241000000,5868000000,283000000,15297000000,2119000000,18510000000,3949000000,3167000000,3951000000,949000000,1337000000,#REF!
JNJ,2017-12-31,3279000000,2873000000,188000000,633000000,581000000,8943000000,234000000,5642000000,21056000000,337000000,6358000000,1148000000,1300000000,8568000000,7673000000,6754000000,14868000000,2725000000,1062000000,21964000000,#REF!
JNJ,2017-01-01,3226000000,246000000,15000000,1065000000,249000000,8621000000,123000000,3754000000,18767000000,215000000,8979000000,5240000000,16540000000,1115000000,8551000000,7875000000,4761000000,656000000,1189000000,1830000000,#REF!
JNJ,2020-03-29,625000000,633000000,812000000,159000000,2505000000,1486000000,1747000000,3358000000,237000000,1711000000,1775000000,5796000000,58000000,4315000000,19000000,581000000,2523000000,332000000,520000000,412000000,#REF!
JNJ,2019-12-29,1260000000,147000000,376000000,147000000,2500000000,310000000,1816000000,6398000000,74000000,426000000,1056000000,4010000000,1591000000,4072000000,1935000000,1344000000,1787000000,374000000,308000000,415000000,#REF!
JNJ,2019-09-29,745000000,1219000000,329000000,1000000,2499000000,71000000,1727000000,7527000000,116000000,1628000000,1873000000,1753000000,2879000000,3893000000,55000000,1645000000,2717000000,117000000,840000000,62000000,#REF!
JNJ,2019-06-30,837000000,1945000000,493000000,54000000,2522000000,97000000,1705000000,5948000000,16000000,2486000000,358000000,5607000000,261000000,4534000000,4000000,1788000000,1389000000,369000000,150000000,101000000,#REF!
JPM,2019-12-31,,22425000000,99856000000,,,12343000000,67361000000,8368000000,6046000000,182000000,24001000000,15162000000,36431000000,60096000000,32987000000,31450000000,54013000000,352000000,,129772000000,#REF!
JPM,2018-12-31,,916000000,25298000000,,,10109000000,128187000000,7791000000,14187000000,2863000000,19983000000,152511000000,32474000000,2596000000,34158000000,38952000000,197993000000,14630000000,,18046000000,#REF!
JPM,2017-12-31,,16183000000,57429000000,,,8993000000,30885000000,6179000000,10827000000,8086000000,15410000000,40150000000,24441000000,30927000000,14642000000,18384000000,28249000000,16508000000,,43223000000,#REF!
JPM,2016-12-31,,9073000000,96869000000,,,8476000000,20293000000,5478000000,21884000000,1482000000,9082000000,29471000000,24733000000,3335000000,98271000000,18960000000,89202000000,5087000000,,3342000000,#REF!
JPM,2020-03-31,11985000000,7479000000,,,3188000000,3000000,2197000000,120772000000,2480000000,6517000000,103903000000,2865000000,35330000000,362305000000,69135000000,135150000000,45019000000,,65801000000,299805000000,#REF!
JPM,2019-12-31,11985000000,6482000000,,,3287000000,7437000000,2139000000,83085000000,2800000000,6751000000,7034000000,8520000000,25527000000,63019000000,74537000000,15832000000,20013000000,,4905000000,22926000000,#REF!
JPM,2019-09-30,11985000000,563000000,,,2975000000,7830000000,2145000000,17695000000,3068000000,6949000000,11441000000,9080000000,18602000000,39537000000,33530000000,65605000000,10871000000,,85809000000,14561000000,#REF!
JPM,2019-06-30,11985000000,1604000000,,,3048000000,31404000000,2046000000,13854000000,1131000000,5210000000,34566000000,9652000000,20458000000,12966000000,41056000000,8877000000,1915000000,,36286000000,36348000000,#REF!
KO,2019-12-31,2054000000,180000000,227000000,158000000,183000000,6845000000,56000000,1365000000,10471000000,72000000,1103000000,2581000000,8920000000,707000000,9004000000,1841000000,3976000000,1318000000,1012000000,2269000000,#REF!
KO,2018-12-31,1548000000,1347000000,272000000,27000000,203000000,6644000000,60000000,1086000000,7627000000,262000000,1912000000,2945000000,6434000000,796000000,10347000000,2995000000,5927000000,251000000,1476000000,7188000000,#REF!
KO,2017-12-31,1750000000,1091000000,95000000,108000000,276000000,6320000000,80000000,1260000000,7041000000,241000000,3682000000,2477000000,1248000000,4558000000,7447000000,1055000000,2312000000,573000000,1595000000,602000000,#REF!
KO,2016-12-31,2262000000,703000000,79000000,28000000,142000000,6043000000,305000000,1787000000,8792000000,5000000,3681000000,1238000000,6527000000,265000000,6545000000,1666000000,1004000000,540000000,1434000000,1216000000,#REF!
KO,2020-03-27,327000000,817000000,,,,48000000,367000000,556000000,54000000,94000000,7228000000,2775000000,1769000000,7810000000,7730000000,1084000000,0,413000000,148000000,239000000,#REF!
KO,2019-12-31,848000000,13000000,,,,34000000,400000000,2700000000,3000000,413000000,1039000000,2042000000,828000000,3667000000,277000000,75000000,1318000000,89000000,708000000,194000000,#REF!
KO,2019-09-27,439000000,467000000,,,,80000000,363000000,3270000000,77000000,1000000,749000000,2593000000,781000000,3905000000,2358000000,1461000000,0,321000000,1101000000,157000000,#REF!
KO,2019-06-28,403000000,39000000,,,,103000000,327000000,3713000000,54000000,292000000,903000000,2607000000,818000000,1853000000,223000000,903000000,0,412000000,472000000,41000000,#REF!
LLY,2019-12-31,1033900000,3027200000,200100000,127200000,258700000,2409800000,248700000,1232600000,4836600000,89900000,4400000000,5660700000,8318400000,602300000,2324500000,4685400000,8082900000,477700000,,456200000,#REF!
LLY,2018-12-31,1210600000,3062200000,372800000,996700000,7800000,2311800000,187700000,1609000000,5524500000,63600000,4150700000,1462000000,3232000000,980000000,5904900000,729300000,1906000000,284500000,,5111900000,#REF!
LLY,2017-12-31,1076800000,1047500000,364400000,357000000,253900000,2192100000,175100000,1567300000,5615600000,20500000,299800000,1954100000,204100000,590100000,142600000,2998900000,3783600000,916300000,,562800000,#REF!
LLY,2016-12-31,1037000000,1100900000,300800000,709400000,328200000,2158500000,130100000,1399500000,4851000000,236400000,600100000,915700000,2737600000,265500000,559800000,2499600000,3139100000,1123800000,,1945400000,#REF!
LLY,2020-03-31,258300000,60400000,,,671300000,51400000,273600000,382400000,66700000,500000000,638500000,1456500000,1408100000,106700000,1472400000,1060900000,0,,8300000,194400000,#REF!
LLY,2019-12-31,326500000,50800000,,,587200000,232000000,340700000,1963700000,35000000,300000000,773700000,1495700000,1161400000,1113600000,221500000,41400000,477700000,,72300000,4900000,#REF!
LLY,2019-09-30,263400000,215500000,,,587400000,141500000,288000000,1510100000,119800000,600000000,726400000,1253900000,247300000,1692900000,505500000,423800000,0,,58800000,4900000,#REF!
LLY,2019-06-30,240300000,279000000,,,598000000,46400000,247400000,1051500000,27100000,600000000,253800000,1327200000,802100000,885800000,286300000,61000000,0,,299900000,1500000,#REF!
LMT,2019-12-31,1484000000,634000000,72000000,485000000,622000000,2556000000,243000000,1078000000,7311000000,,1200000000,742000000,6230000000,81000000,5328000000,1500000000,1241000000,535000000,,,#REF!
LMT,2018-12-31,1278000000,829000000,163000000,1659000000,119000000,2347000000,203000000,1055000000,3138000000,,1492000000,2089000000,5046000000,3574000000,4152000000,150000000,1075000000,377000000,,,#REF!
LMT,2017-12-31,1177000000,3639000000,141000000,512000000,79000000,2163000000,30000000,1072000000,6476000000,,2001000000,1024000000,1963000000,1316000000,4305000000,150000000,1147000000,164000000,,,#REF!
LMT,2016-12-31,1063000000,1499000000,1639000000,648000000,173000000,2048000000,78000000,1031000000,5189000000,,2096000000,747000000,5173000000,1028000000,3457000000,952000000,985000000,351000000,,,#REF!
LMT,2020-03-29,293000000,307000000,1650000000,80000000,693000000,2000000,301000000,2314000000,,756000000,474000000,1717000000,39000000,1545000000,,295000000,2045000000,,,96000000,#REF!
LMT,2019-12-31,643000000,16000000,1957000000,145000000,675000000,205000000,211000000,1490000000,,490000000,1025000000,1498000000,747000000,2077000000,,438000000,1345000000,,,12000000,#REF!
LMT,2019-09-29,308000000,564000000,454000000,125000000,621000000,13000000,302000000,2490000000,,210000000,1372000000,1608000000,276000000,823000000,,295000000,298000000,,,8000000,#REF!
LMT,2019-06-30,249000000,272000000,396000000,314000000,622000000,2000000,288000000,1668000000,,219000000,176000000,1420000000,274000000,1241000000,,251000000,537000000,,,8000000,#REF!
LOW,2020-01-31,1484000000,895000000,1000000,,600000000,1618000000,,1387000000,4296000000,1000000,4313000000,205000000,4281000000,1030000000,2735000000,3079000000,1369000000,637000000,118000000,48000000,#REF!
