stock,endDate,netIncomeApplicableToCommonShares,netIncomeFromContinuingOps,totalOtherIncomeExpenseNet,costOfRevenue,totalOperatingExpenses,totalRevenue,incomeTaxExpense,interestExpense,operatingIncome,ebit,grossProfit,sellingGeneralAdministrative,netIncome,incomeBeforeTax,researchDevelopment,otherOperatingExpenses,minorityInterest,discontinuedOperations
ADBE,2019-08-30,792763000,792763000,19324000,415963000,1980314000,2834126000,41725000,39529000,853812000,853812000,2418163000,1031570000,792763000,834488000,489827000,,,
WMT,2020-01-31,14881000000,15201000000,1352000000,394605000000,502496000000,523964000000,4915000000,2599000000,21468000000,21468000000,129359000000,107891000000,14881000000,20116000000,,,6883000000,
WMT,2019-01-31,6670000000,7179000000,10657000000,385301000000,492288000000,514405000000,4281000000,2346000000,22117000000,22117000000,129104000000,106987000000,6670000000,11460000000,,,7138000000,
WMT,2018-01-31,9862000000,10523000000,5814000000,373396000000,479406000000,500343000000,4600000000,2330000000,20937000000,20937000000,126947000000,106010000000,9862000000,15123000000,,,2953000000,
WMT,2017-01-31,13643000000,14293000000,2267000000,361256000000,463109000000,485873000000,6204000000,2367000000,22764000000,22764000000,124617000000,101853000000,13643000000,20497000000,,,2737000000,
WMT,2020-04-30,3990000000,4074000000,728000000,102026000000,128498000000,134622000000,1322000000,592000000,6124000000,6124000000,32596000000,26472000000,3990000000,5396000000,,5870000000,,
WMT,2020-01-31,4141000000,4294000000,249000000,107748000000,135749000000,141671000000,1379000000,652000000,5922000000,5922000000,33923000000,28001000000,4141000000,5673000000,,6883000000,,
WMT,2019-10-31,3288000000,3321000000,645000000,95900000000,122973000000,127991000000,1052000000,633000000,5018000000,5018000000,32091000000,27073000000,3288000000,4373000000,,6658000000,,
WMT,2019-07-31,3610000000,3680000000,670000000,97923000000,124794000000,130377000000,1233000000,641000000,5583000000,5583000000,32454000000,26871000000,3610000000,4913000000,,6804000000,,
CRM,2020-01-31,126000000,126000000,203000000,4235000000,16595000000,17098000000,580000000,131000000,503000000,503000000,12863000000,9594000000,126000000,706000000,2766000000,,,
CRM,2019-01-31,1110000000,1110000000,424000000,3451000000,12723000000,13282000000,127000000,154000000,559000000,559000000,9831000000,7386000000,1110000000,983000000,1886000000,,,
CRM,2018-01-31,360000000,360000000,34000000,2773000000,10086000000,10540000000,60000000,154000000,454000000,454000000,7767000000,5760000000,360000000,420000000,1553000000,,,
CRM,2017-01-31,323000000,323000000,39000000,2234000000,8219000000,8437000000,144000000,89000000,218000000,218000000,6203000000,4777000000,323000000,179000000,1208000000,,,
CRM,2020-01-31,248000000,248000000,32000000,1220000000,4887000000,4851000000,244000000,30000000,36000000,36000000,3631000000,2836000000,248000000,4000000,831000000,,,
CRM,2019-10-31,109000000,109000000,31000000,1134000000,4418000000,4513000000,173000000,32000000,95000000,95000000,3379000000,2510000000,109000000,64000000,774000000,,,
