stock,endDate,netIncomeApplicableToCommonShares,netIncomeFromContinuingOps,totalOtherIncomeExpenseNet,costOfRevenue,totalOperatingExpenses,totalRevenue,incomeTaxExpense,interestExpense,operatingIncome,ebit,grossProfit,sellingGeneralAdministrative,netIncome,incomeBeforeTax,researchDevelopment,otherOperatingExpenses,minorityInterest,discontinuedOperations
UNP,2017-12-31,10712000000,10712000000,515000000,10040000000,13093000000,21240000000,3080000000,719000000,8147000000,8147000000,11200000000,,10712000000,7632000000,,948000000,,
UNP,2016-12-31,4233000000,4233000000,506000000,9634000000,12669000000,19941000000,2533000000,698000000,7272000000,7272000000,10307000000,,4233000000,6766000000,,997000000,,
UNP,2020-03-31,1474000000,1474000000,233000000,2233000000,3078000000,5229000000,444000000,278000000,2151000000,2151000000,2996000000,,1474000000,1918000000,,,298000000,
UNP,2019-12-31,1403000000,1403000000,329000000,2215000000,3005000000,5212000000,475000000,278000000,2207000000,2207000000,2997000000,,1403000000,1878000000,,,231000000,
UNP,2019-09-30,1555000000,1555000000,225000000,2436000000,3270000000,5516000000,466000000,266000000,2246000000,2246000000,3080000000,,1555000000,2021000000,,,277000000,
UNP,2019-06-30,1570000000,1570000000,178000000,2562000000,3360000000,5596000000,488000000,259000000,2236000000,2236000000,3034000000,,1570000000,2058000000,,,247000000,
AMGN,2019-12-31,7842000000,7842000000,583000000,4356000000,13641000000,23362000000,1296000000,1289000000,9721000000,9721000000,19006000000,5150000000,7842000000,9138000000,4116000000,19000000,,
AMGN,2018-12-31,8394000000,8394000000,1006000000,4101000000,13196000000,23747000000,1151000000,1392000000,10551000000,10551000000,19646000000,5332000000,8394000000,9545000000,3737000000,26000000,,
AMGN,2017-12-31,1979000000,1979000000,743000000,4069000000,12509000000,22849000000,7618000000,1303000000,10340000000,10340000000,18780000000,4870000000,1979000000,9597000000,3562000000,8000000,,
AMGN,2016-12-31,7722000000,7722000000,669000000,4162000000,13159000000,22991000000,1441000000,1259000000,9832000000,9832000000,18829000000,5120000000,7722000000,9163000000,3840000000,37000000,,
AMGN,2020-03-31,1825000000,1825000000,335000000,1513000000,3806000000,6161000000,195000000,346000000,2355000000,2355000000,4648000000,1316000000,1825000000,2020000000,952000000,,25000000,
AMGN,2019-12-31,1703000000,1703000000,112000000,1253000000,4102000000,6197000000,280000000,332000000,2095000000,2095000000,4944000000,1513000000,1703000000,1983000000,1312000000,,24000000,
AMGN,2019-09-30,1968000000,1968000000,199000000,1036000000,3261000000,5737000000,309000000,313000000,2476000000,2476000000,4701000000,1223000000,1968000000,2277000000,1001000000,,1000000,
AMGN,2019-06-30,2179000000,2179000000,114000000,1012000000,3193000000,5871000000,385000000,332000000,2678000000,2678000000,4859000000,1260000000,2179000000,2564000000,924000000,,3000000,
NKE,2019-05-31,4029000000,4029000000,29000000,21643000000,34345000000,39117000000,772000000,131000000,4772000000,4772000000,17474000000,12702000000,4029000000,4801000000,,,,
NKE,2018-05-31,1933000000,1933000000,120000000,20441000000,31952000000,36397000000,2392000000,124000000,4445000000,4445000000,15956000000,11511000000,1933000000,4325000000,,,,
NKE,2017-05-31,4240000000,4240000000,137000000,19038000000,29601000000,34350000000,646000000,86000000,4749000000,4749000000,15312000000,10563000000,4240000000,4886000000,,,,
NKE,2016-05-31,3760000000,3760000000,121000000,17405000000,27874000000,32376000000,863000000,31000000,4502000000,4502000000,14971000000,10469000000,3760000000,4623000000,,,,
NKE,2020-02-29,847000000,847000000,309000000,5631000000,8914000000,10104000000,34000000,28000000,1190000000,1190000000,4473000000,3283000000,847000000,881000000,,,,
NKE,2019-11-30,1115000000,1115000000,29000000,5782000000,9106000000,10326000000,134000000,26000000,1220000000,1220000000,4544000000,3324000000,1115000000,1249000000,,,,
NKE,2019-08-31,1367000000,1367000000,18000000,5789000000,9117000000,10660000000,194000000,36000000,1543000000,1543000000,4871000000,3328000000,1367000000,1561000000,,,,
NKE,2019-05-31,989000000,989000000,16000000,5551000000,8957000000,10184000000,254000000,34000000,1227000000,1227000000,4633000000,3406000000,989000000,1243000000,,,,
IBM,2019-12-31,9431000000,9435000000,619000000,40658000000,66362000000,77147000000,731000000,1344000000,10785000000,10785000000,36489000000,20382000000,9431000000,10166000000,5936000000,614000000,144000000,4000000
IBM,2018-12-31,8728000000,8723000000,889000000,42654000000,67360000000,79591000000,2619000000,723000000,12231000000,12231000000,36937000000,20325000000,8728000000,11342000000,5379000000,998000000,134000000,5000000
IBM,2017-12-31,5753000000,5758000000,282000000,42196000000,67457000000,79139000000,5642000000,615000000,11682000000,11682000000,36943000000,21137000000,5753000000,11400000000,5590000000,1466000000,131000000,5000000
IBM,2016-12-31,11872000000,11881000000,1840000000,41402000000,65749000000,79919000000,449000000,630000000,14170000000,14170000000,38517000000,20225000000,11872000000,12330000000,5726000000,1604000000,146000000,9000000
IBM,2020-03-31,1175000000,1176000000,973000000,9648000000,16648000000,17571000000,1226000000,326000000,923000000,923000000,7923000000,5491000000,1175000000,50000000,1625000000,129000000,116000000,1000000
IBM,2019-12-31,3670000000,3669000000,79000000,10676000000,17705000000,21777000000,324000000,354000000,4072000000,4072000000,11101000000,5586000000,3670000000,3993000000,1596000000,144000000,153000000,1000000
IBM,2019-09-30,1672000000,1673000000,499000000,9692000000,16007000000,18028000000,151000000,432000000,2021000000,2021000000,8336000000,4970000000,1672000000,1522000000,1500000000,139000000,155000000,1000000
IBM,2019-06-30,2498000000,2499000000,2000000,10151000000,16395000000,19161000000,269000000,348000000,2766000000,2766000000,9010000000,5043000000,2498000000,2768000000,1407000000,131000000,206000000,1000000
CVS,2019-12-31,6629000000,6631000000,2821000000,211248000000,243947000000,255765000000,2366000000,3035000000,11818000000,11818000000,44517000000,32699000000,6634000000,8997000000,,,306000000,
CVS,2018-12-31,597000000,596000000,8645000000,163041000000,183868000000,193919000000,2002000000,2619000000,10051000000,10051000000,30878000000,20827000000,594000000,1406000000,,,318000000,
CVS,2017-12-31,6598000000,6631000000,1710000000,156258000000,174995000000,184765000000,1637000000,1062000000,9770000000,9770000000,28507000000,18737000000,6622000000,8268000000,,,4000000,
CVS,2016-12-31,5290000000,5320000000,1939000000,148666000000,166950000000,177526000000,3317000000,1078000000,10576000000,10576000000,28860000000,18284000000,5317000000,8637000000,,,4000000,
CVS,2020-03-31,2007000000,2012000000,586000000,54734000000,63228000000,66593000000,767000000,733000000,3365000000,3365000000,11859000000,8494000000,2007000000,2779000000,,334000000,,
CVS,2019-12-31,1745000000,1744000000,743000000,55198000000,63606000000,66683000000,590000000,734000000,3077000000,3077000000,11485000000,8408000000,1747000000,2334000000,,306000000,,
CVS,2019-09-30,1530000000,1529000000,739000000,53287000000,61675000000,64547000000,604000000,747000000,2872000000,2872000000,11260000000,8388000000,1530000000,2133000000,,319000000,,
CVS,2019-06-30,1935000000,1931000000,554000000,52057000000,59993000000,63138000000,660000000,772000000,3145000000,3145000000,11081000000,7936000000,1936000000,2591000000,,317000000,,
MDT,2020-04-24,4789000000,4806000000,1396000000,9264000000,23462000000,28913000000,751000000,1092000000,5451000000,5451000000,19649000000,9838000000,4789000000,4055000000,2331000000,273000000,135000000,
MDT,2019-04-26,4724000000,4743000000,1476000000,9064000000,23781000000,30557000000,557000000,959000000,6776000000,6776000000,21493000000,11866000000,4724000000,5300000000,2330000000,521000000,121000000,
MDT,2018-04-27,3011000000,3002000000,1189000000,9010000000,23192000000,29953000000,2570000000,1108000000,6761000000,6761000000,20943000000,11752000000,3011000000,5572000000,2256000000,174000000,102000000,
MDT,2017-04-28,4028000000,4024000000,1508000000,9246000000,23600000000,29710000000,578000000,1094000000,6110000000,6110000000,20464000000,9715000000,4028000000,4602000000,2193000000,466000000,122000000,
MDT,2020-04-24,646000000,640000000,261000000,2224000000,5531000000,5998000000,434000000,162000000,467000000,467000000,3774000000,2266000000,646000000,206000000,567000000,135000000,35000000,
MDT,2020-01-24,1915000000,1919000000,201000000,2350000000,5937000000,7717000000,340000000,156000000,1780000000,1780000000,5367000000,2539000000,1915000000,1579000000,573000000,145000000,39000000,
MDT,2019-10-25,1364000000,1371000000,239000000,2362000000,6173000000,7706000000,77000000,165000000,1533000000,1533000000,5344000000,2571000000,1364000000,1294000000,603000000,141000000,196000000,
MDT,2019-07-26,864000000,877000000,653000000,2331000000,5863000000,7493000000,100000000,609000000,1630000000,1630000000,5162000000,2486000000,864000000,977000000,587000000,134000000,19000000,
SPGI,2019-12-31,2123000000,2303000000,229000000,1801000000,3540000000,6699000000,627000000,198000000,3159000000,3159000000,4898000000,1535000000,2123000000,2930000000,,,2325000000,
SPGI,2018-12-31,1958000000,2121000000,250000000,1698000000,3297000000,6258000000,560000000,134000000,2961000000,2961000000,4560000000,1393000000,1958000000,2681000000,,,1676000000,
SPGI,2017-12-31,1496000000,1638000000,290000000,1694000000,3312000000,6063000000,823000000,149000000,2751000000,2751000000,4369000000,1438000000,1496000000,2461000000,,,1409000000,
SPGI,2016-12-31,2106000000,2228000000,899000000,1773000000,3372000000,5661000000,960000000,181000000,2289000000,2289000000,3888000000,1418000000,2106000000,3188000000,,,1131000000,
SPGI,2020-03-31,639000000,689000000,51000000,521000000,858000000,1786000000,188000000,34000000,928000000,928000000,1265000000,288000000,639000000,877000000,,2324000000,,
SPGI,2019-12-31,541000000,586000000,115000000,464000000,889000000,1735000000,145000000,93000000,846000000,846000000,1271000000,374000000,541000000,731000000,,2325000000,,
SPGI,2019-09-30,617000000,662000000,5000000,438000000,833000000,1689000000,189000000,32000000,856000000,856000000,1251000000,346000000,617000000,851000000,,2081000000,,
SPGI,2019-06-30,555000000,602000000,63000000,452000000,853000000,1704000000,180000000,37000000,851000000,851000000,1252000000,349000000,555000000,782000000,,1948000000,,
AMD,2019-12-28,341000000,341000000,259000000,3863000000,6100000000,6731000000,31000000,94000000,631000000,631000000,2868000000,750000000,341000000,372000000,1547000000,60000000,,
AMD,2018-12-29,337000000,337000000,168000000,3983000000,5979000000,6475000000,9000000,121000000,496000000,496000000,2492000000,562000000,337000000,328000000,1434000000,60000000,,
AMD,2017-12-30,33000000,33000000,142000000,3466000000,5126000000,5253000000,18000000,126000000,127000000,127000000,1787000000,516000000,33000000,15000000,1196000000,52000000,,
AMD,2016-12-31,498000000,498000000,76000000,3316000000,4702000000,4319000000,39000000,156000000,383000000,383000000,1003000000,466000000,498000000,459000000,1008000000,88000000,,
AMD,2020-03-28,162000000,162000000,9000000,968000000,1609000000,1786000000,6000000,13000000,177000000,177000000,818000000,199000000,162000000,168000000,442000000,,,
AMD,2019-12-28,170000000,170000000,143000000,1178000000,1779000000,2127000000,35000000,18000000,348000000,348000000,949000000,206000000,170000000,205000000,395000000,,,
AMD,2019-09-28,120000000,120000000,59000000,1024000000,1615000000,1801000000,7000000,24000000,186000000,186000000,777000000,185000000,120000000,127000000,406000000,,,
AMD,2019-06-29,35000000,35000000,22000000,910000000,1472000000,1531000000,2000000,25000000,59000000,59000000,621000000,189000000,35000000,37000000,373000000,,,
AMT,2019-12-31,1887800000,1916600000,948000000,2216800000,4715900000,7580300000,200000,814200000,2864400000,2864400000,5363500000,730400000,1887800000,1916400000,,9700000,1531500000,
AMT,2018-12-31,1227000000,1264700000,1587700000,2177800000,4697800000,7440100000,110100000,825600000,2742300000,2742300000,5262300000,733200000,1236400000,1154600000,,3500000,1568300000,
AMT,2017-12-31,1151500000,1225400000,992100000,2056600000,4415700000,6663900000,30700000,749600000,2248200000,2248200000,4607300000,637000000,1238900000,1256100000,,6200000,1712800000,
AMT,2016-12-31,849300000,970400000,806500000,1790400000,3853300000,5785700000,155500000,718300000,1932400000,1932400000,3995300000,543400000,956400000,1125900000,,6100000,1303600000,
AMT,2020-03-31,415000000,418600000,318800000,552000000,1234600000,1993100000,21100000,208800000,758500000,758500000,1441100000,217800000,415000000,439700000,,971600000,7500000,
AMT,2019-12-31,562700000,569400000,303900000,550200000,1150900000,1923700000,100500000,200900000,772800000,772800000,1373500000,179600000,562700000,468900000,,1531500000,28700000,
AMT,2019-09-30,498600000,505300000,207700000,559900000,1203900000,1953600000,36700000,201300000,749700000,749700000,1393700000,187900000,498600000,542000000,,1129500000,13300000,
AMT,2019-06-30,429100000,434300000,238900000,563300000,1186800000,1889600000,29600000,204500000,702800000,702800000,1326300000,164800000,429100000,463900000,,1155800000,9800000,
HON,2019-12-31,6143000000,6230000000,55000000,24339000000,29205000000,36709000000,1329000000,357000000,7504000000,7504000000,12370000000,4866000000,6143000000,7559000000,,,219000000,
HON,2018-12-31,6765000000,6828000000,415000000,29046000000,33900000000,41802000000,659000000,367000000,7902000000,7902000000,12756000000,4854000000,6765000000,7487000000,,,185000000,
HON,2017-12-31,1545000000,1588000000,249000000,28144000000,33335000000,40534000000,5362000000,316000000,7199000000,7199000000,12390000000,5191000000,1545000000,6950000000,,,168000000,
HON,2016-12-31,4812000000,4849000000,236000000,27677000000,32614000000,39302000000,1603000000,338000000,6688000000,6688000000,11625000000,4937000000,4812000000,6452000000,,,181000000,
HON,2020-03-31,1581000000,1606000000,244000000,5534000000,6772000000,8463000000,329000000,73000000,1691000000,1691000000,2929000000,1238000000,1581000000,1935000000,,7000000,,
HON,2019-12-31,1562000000,1590000000,4000000,6328000000,7732000000,9496000000,178000000,91000000,1764000000,1764000000,3168000000,1404000000,1562000000,1768000000,,219000000,,
HON,2019-09-30,1624000000,1648000000,23000000,6038000000,7142000000,9086000000,319000000,96000000,1944000000,1944000000,3048000000,1104000000,1624000000,1967000000,,204000000,,
HON,2019-06-30,1541000000,1556000000,24000000,6094000000,7285000000,9243000000,426000000,85000000,1958000000,1958000000,3149000000,1191000000,1541000000,1982000000,,197000000,,
COP,2019-12-31,7189000000,7257000000,2089000000,17164000000,25911000000,33346000000,2267000000,778000000,7435000000,7435000000,16182000000,639000000,7189000000,9524000000,,1275000000,69000000,
COP,2018-12-31,6257000000,6305000000,293000000,19507000000,27811000000,37491000000,3668000000,735000000,9680000000,9680000000,17984000000,585000000,6257000000,9973000000,,1394000000,125000000,
COP,2017-12-31,855000000,793000000,5150000000,17637000000,27343000000,29878000000,1822000000,1098000000,2535000000,2535000000,12241000000,576000000,855000000,2615000000,,1171000000,194000000,
COP,2016-12-31,3615000000,3559000000,764000000,15637000000,28511000000,23745000000,1971000000,1245000000,4766000000,4766000000,8108000000,735000000,3615000000,5530000000,,1165000000,252000000,
COP,2020-03-31,1739000000,1711000000,2218000000,3834000000,5737000000,6392000000,148000000,202000000,655000000,655000000,2558000000,11000000,1739000000,1563000000,,72000000,315000000,
COP,2019-12-31,720000000,743000000,511000000,4085000000,6039000000,7836000000,543000000,196000000,1797000000,1797000000,3751000000,1000000,720000000,1286000000,,69000000,314000000,
COP,2019-09-30,3056000000,3071000000,1891000000,4041000000,6444000000,8046000000,422000000,184000000,1602000000,1602000000,4005000000,157000000,3056000000,3493000000,,93000000,320000000,
COP,2019-06-30,1580000000,1597000000,63000000,4092000000,6131000000,8126000000,461000000,165000000,1995000000,1995000000,4034000000,148000000,1580000000,2058000000,,98000000,279000000,
LOW,2020-01-31,4268000000,4281000000,956000000,49048000000,65569000000,72148000000,1342000000,718000000,6579000000,6579000000,23100000000,15282000000,4281000000,5623000000,,,,
LOW,2019-02-01,2307000000,2314000000,1759000000,48401000000,66156000000,71309000000,1080000000,652000000,5153000000,5153000000,22908000000,16431000000,2314000000,3394000000,,,,
LOW,2018-02-02,3436000000,3447000000,1097000000,46185000000,62033000000,68619000000,2042000000,652000000,6586000000,6586000000,22434000000,14444000000,3447000000,5489000000,,,,
LOW,2017-02-03,3062000000,3093000000,692000000,43343000000,59124000000,65017000000,2108000000,657000000,5893000000,5893000000,21674000000,14328000000,3093000000,5201000000,,,,
LOW,2020-05-01,1333000000,1337000000,205000000,13162000000,17684000000,19675000000,449000000,210000000,1991000000,1991000000,6513000000,4196000000,1337000000,1786000000,,,,
LOW,2020-01-31,508000000,510000000,395000000,10889000000,14857000000,16027000000,265000000,184000000,1170000000,1170000000,5138000000,3653000000,510000000,775000000,,,,
LOW,2019-11-01,1046000000,1049000000,230000000,11748000000,15777000000,17388000000,332000000,182000000,1611000000,1611000000,5640000000,3719000000,1049000000,1381000000,,,,
LOW,2019-08-02,1670000000,1676000000,169000000,14252000000,18611000000,20992000000,536000000,182000000,2381000000,2381000000,6740000000,4048000000,1676000000,2212000000,,,,
ORCL,2019-05-31,11083000000,11083000000,1754000000,7995000000,25484000000,39506000000,1185000000,2082000000,14022000000,14022000000,31511000000,9774000000,11083000000,12268000000,6026000000,,578000000,
ORCL,2018-05-31,3587000000,3587000000,1426000000,8060000000,25533000000,39383000000,8837000000,2025000000,13850000000,13850000000,31323000000,9769000000,3587000000,12424000000,6084000000,,501000000,
ORCL,2017-05-31,9452000000,9452000000,1757000000,7452000000,24355000000,37792000000,2228000000,1798000000,13437000000,13437000000,30340000000,9299000000,9452000000,11680000000,6153000000,,386000000,
ORCL,2016-05-31,8901000000,8901000000,1662000000,7479000000,23943000000,37047000000,2541000000,1467000000,13104000000,13104000000,29568000000,9039000000,8901000000,11442000000,5787000000,,501000000,
ORCL,2020-02-29,2571000000,2571000000,516000000,1964000000,6204000000,9796000000,505000000,457000000,3592000000,3592000000,7832000000,2337000000,2571000000,3076000000,1500000000,646000000,3000000,
ORCL,2019-11-30,2311000000,2311000000,414000000,2048000000,6390000000,9614000000,499000000,463000000,3224000000,3224000000,7566000000,2391000000,2311000000,2810000000,1531000000,622000000,13000000,
ORCL,2019-08-31,2137000000,2137000000,451000000,1957000000,6285000000,9218000000,345000000,494000000,2933000000,2933000000,7261000000,2339000000,2137000000,2482000000,1557000000,586000000,18000000,
ORCL,2019-05-31,3740000000,3740000000,574000000,2063000000,6697000000,11137000000,126000000,525000000,4440000000,4440000000,9074000000,2648000000,3740000000,3866000000,1562000000,578000000,18000000,
INTU,2019-07-31,1557000000,1557000000,27000000,1147000000,4930000000,6784000000,324000000,15000000,1854000000,1854000000,5637000000,2524000000,1557000000,1881000000,1233000000,,,
INTU,2018-07-31,1329000000,1329000000,6000000,963000000,4465000000,6025000000,237000000,20000000,1560000000,1560000000,5062000000,2295000000,1329000000,1566000000,1186000000,,,
INTU,2017-07-31,985000000,985000000,28000000,798000000,3778000000,5196000000,405000000,31000000,1418000000,1418000000,4398000000,1968000000,985000000,1390000000,998000000,,,
INTU,2016-07-31,979000000,806000000,39000000,730000000,3452000000,4694000000,397000000,35000000,1242000000,1242000000,3964000000,1807000000,979000000,1203000000,881000000,,,
INTU,2020-04-30,1084000000,1084000000,5000000,421000000,1589000000,3002000000,324000000,2000000,1413000000,1413000000,2581000000,829000000,1084000000,1408000000,332000000,,,
INTU,2020-01-31,240000000,240000000,12000000,334000000,1426000000,1696000000,42000000,3000000,270000000,270000000,1362000000,752000000,240000000,282000000,333000000,,,
INTU,2019-10-31,57000000,57000000,12000000,284000000,1155000000,1165000000,35000000,2000000,10000000,10000000,881000000,529000000,57000000,22000000,334000000,,,
INTU,2019-07-31,44000000,44000000,16000000,276000000,1147000000,994000000,93000000,3000000,153000000,153000000,718000000,531000000,44000000,137000000,333000000,,,
MS,2019-12-31,8512000000,9237000000,2541000000,4687000000,27577000000,41419000000,2064000000,,13842000000,0,36732000000,22890000000,9042000000,11301000000,,,1148000000,
MS,2018-12-31,8222000000,8887000000,2482000000,4409000000,26388000000,40107000000,2350000000,,13719000000,0,35698000000,21979000000,8748000000,11237000000,,,1160000000,
MS,2017-12-31,5588000000,6235000000,2385000000,3884000000,25157000000,37945000000,4168000000,,12788000000,0,34061000000,21273000000,6111000000,10403000000,,,1075000000,
MS,2016-12-31,5508000000,6122000000,2175000000,3707000000,23608000000,34631000000,2726000000,,11023000000,0,30924000000,19901000000,5979000000,8848000000,,,1127000000,
MS,2020-03-31,1590000000,1780000000,809000000,1303000000,6532000000,9487000000,366000000,,2955000000,0,8184000000,5229000000,1698000000,2146000000,,1368000000,,
MS,2019-12-31,2085000000,2305000000,738000000,1200000000,7386000000,10857000000,428000000,,3471000000,0,9657000000,6186000000,2239000000,2733000000,,1148000000,,
MS,2019-09-30,2060000000,2218000000,660000000,1194000000,6662000000,10032000000,492000000,,3370000000,0,8838000000,5468000000,2173000000,2710000000,,1168000000,,
MS,2019-06-30,2031000000,2246000000,590000000,1168000000,6751000000,10244000000,657000000,,3493000000,0,9076000000,5583000000,2201000000,2903000000,,1121000000,,
LMT,2019-12-31,6230000000,6230000000,457000000,51445000000,52114000000,59812000000,1011000000,653000000,7698000000,7698000000,8367000000,608000000,6230000000,7241000000,,61000000,44000000,
LMT,2018-12-31,5046000000,5046000000,696000000,46392000000,47228000000,53762000000,792000000,668000000,6534000000,6534000000,7370000000,777000000,5046000000,5838000000,,59000000,55000000,
LMT,2017-12-31,1963000000,1890000000,347000000,43589000000,44367000000,49960000000,3356000000,651000000,5593000000,5593000000,6371000000,746000000,1963000000,5246000000,,32000000,74000000,
LMT,2016-12-31,5173000000,3661000000,173000000,41809000000,42363000000,47290000000,1093000000,663000000,4927000000,4927000000,5481000000,471000000,5173000000,4754000000,,83000000,95000000,
LMT,2020-03-29,1717000000,1717000000,122000000,13560000000,13499000000,15651000000,313000000,148000000,2152000000,2152000000,2091000000,60000000,1717000000,2030000000,,41000000,1000000,
LMT,2019-12-31,1498000000,1498000000,117000000,13755000000,13929000000,15878000000,334000000,157000000,1949000000,1949000000,2123000000,152000000,1498000000,1832000000,,44000000,22000000,
LMT,2019-09-29,1608000000,1608000000,116000000,13108000000,13274000000,15171000000,173000000,162000000,1897000000,1897000000,2063000000,153000000,1608000000,1781000000,,44000000,13000000,
LMT,2019-06-30,1420000000,1420000000,158000000,12434000000,12586000000,14427000000,263000000,163000000,1841000000,1841000000,1993000000,152000000,1420000000,1683000000,,46000000,13000000,
GS,2019-12-31,7871000000,8466000000,1240000000,4419000000,23658000000,35481000000,2117000000,,11823000000,0,31062000000,15437000000,8466000000,10583000000,,2098000000,1713000000,
GS,2018-12-31,9841000000,10459000000,844000000,4223000000,22617000000,35942000000,2022000000,,13325000000,0,31719000000,15091000000,10459000000,12481000000,,1975000000,1568000000,
GS,2017-12-31,3661000000,4286000000,188000000,3773000000,20753000000,32073000000,6846000000,,11320000000,0,28300000000,14139000000,4286000000,11132000000,,1689000000,553000000,
GS,2016-12-31,7066000000,7398000000,396000000,3632000000,19908000000,30608000000,2906000000,,10700000000,0,26976000000,13774000000,7398000000,10304000000,,1504000000,506000000,
GS,2020-03-31,1116000000,1213000000,184000000,1296000000,6274000000,7806000000,135000000,,1532000000,0,6510000000,3973000000,1213000000,1348000000,,1122000000,568000000,
GS,2019-12-31,1720000000,1917000000,1090000000,1122000000,6208000000,9619000000,404000000,,3411000000,0,8497000000,3930000000,1917000000,2321000000,,1713000000,692000000,
GS,2019-09-30,1786000000,1877000000,47000000,1136000000,5569000000,8032000000,539000000,,2463000000,0,6896000000,3502000000,1877000000,2416000000,,1663000000,458000000,
GS,2019-06-30,2187000000,2421000000,66000000,1113000000,6054000000,9247000000,706000000,,3193000000,0,8134000000,4039000000,2421000000,3127000000,,1594000000,503000000,
SCHW,2019-12-31,3526000000,3704000000,62000000,253000000,5811000000,10721000000,1144000000,,4910000000,0,10468000000,4948000000,3704000000,4848000000,,261000000,,
SCHW,2018-12-31,3329000000,3507000000,0,242000000,5570000000,10132000000,1055000000,,4562000000,0,9890000000,4709000000,3507000000,4562000000,,313000000,,
SCHW,2017-12-31,2180000000,2354000000,0,231000000,4968000000,8618000000,1296000000,,3650000000,0,8387000000,4200000000,2354000000,3650000000,,268000000,,
SCHW,2016-12-31,1746000000,1889000000,16000000,237000000,4485000000,7462000000,1104000000,,2977000000,0,7225000000,3779000000,1889000000,2993000000,,235000000,,
SCHW,2020-03-31,757000000,795000000,0,75000000,1570000000,2617000000,252000000,,1047000000,0,2542000000,1322000000,795000000,1047000000,,,77000000,
SCHW,2019-12-31,801000000,852000000,62000000,66000000,1432000000,2606000000,260000000,,1174000000,0,2540000000,1201000000,852000000,1112000000,,,71000000,
SCHW,2019-09-30,913000000,951000000,62000000,63000000,1413000000,2711000000,285000000,,1298000000,0,2648000000,1208000000,951000000,1236000000,,,54000000,
SCHW,2019-06-30,887000000,937000000,0,62000000,1445000000,2681000000,299000000,,1236000000,0,2619000000,1225000000,937000000,1236000000,,,74000000,
NOW,2019-12-31,626698000,626698000,25062000,796645000,3418314000,3460437000,559513000,33283000,42123000,42123000,2663792000,1873300000,626698000,67185000,748369000,,,
NOW,2018-12-31,26704000,26704000,3402000,622658000,2651242000,2608816000,12320000,52733000,42426000,42426000,1986158000,1499083000,26704000,39024000,529501000,,,
NOW,2017-12-31,116846000,116846000,49010000,499862000,1982890000,1918494000,3440000,53394000,64396000,64396000,1418632000,1105510000,116846000,113406000,377518000,,,
NOW,2016-12-31,414249000,414249000,299251000,398995000,1502153000,1390985000,3830000,33278000,111168000,111168000,991990000,817919000,414249000,410419000,285239000,,,
NOW,2020-03-31,48231000,48231000,973000,223366000,997005000,1046340000,131000,8570000,49335000,49335000,822974000,546982000,48231000,48362000,226657000,,,
NOW,2019-12-31,598724000,598724000,5674000,211453000,923262000,951774000,564538000,8475000,28512000,28512000,740321000,509481000,598724000,34186000,202328000,,,
NOW,2019-09-30,40598000,40598000,4446000,200793000,829509000,885833000,20172000,8371000,56324000,56324000,685040000,438617000,40598000,60770000,190099000,,,
NOW,2019-06-30,11079000,11079000,10685000,198147000,860904000,833904000,5236000,8269000,27000000,27000000,635757000,479337000,11079000,16315000,183420000,,,
CAT,2019-12-31,6093000000,6094000000,273000000,39338000000,45687000000,53800000000,1746000000,421000000,8113000000,8113000000,14462000000,4796000000,6093000000,7840000000,1693000000,140000000,41000000,
CAT,2018-12-31,6147000000,6148000000,490000000,39819000000,46386000000,54722000000,1698000000,404000000,8336000000,8336000000,14903000000,4806000000,6147000000,7846000000,1850000000,89000000,41000000,
CAT,2017-12-31,754000000,759000000,1478000000,33638000000,39886000000,45462000000,3339000000,531000000,5576000000,5576000000,11824000000,4425000000,754000000,4098000000,1842000000,19000000,69000000,
CAT,2016-12-31,67000000,59000000,1751000000,30402000000,36653000000,38537000000,192000000,503000000,1884000000,1884000000,8135000000,4476000000,67000000,133000000,1853000000,78000000,76000000,
CAT,2020-03-31,1092000000,1093000000,193000000,7990000000,8924000000,10635000000,425000000,113000000,1711000000,1711000000,2645000000,606000000,1092000000,1518000000,356000000,42000000,28000000,
CAT,2019-12-31,1098000000,1097000000,86000000,9784000000,11685000000,13144000000,276000000,112000000,1459000000,1459000000,3360000000,1555000000,1098000000,1373000000,386000000,41000000,40000000,
CAT,2019-09-30,1494000000,1494000000,51000000,9233000000,10695000000,12758000000,518000000,103000000,2063000000,2063000000,3525000000,1064000000,1494000000,2012000000,431000000,41000000,33000000,
CAT,2019-06-30,1620000000,1619000000,111000000,10664000000,12137000000,14432000000,565000000,103000000,2295000000,2295000000,3768000000,1076000000,1620000000,2184000000,441000000,41000000,44000000,
C,2019-12-31,18171000000,19471000000,0,0,42167000000,66068000000,4430000000,,23901000000,0,66068000000,32354000000,19401000000,23901000000,,9813000000,704000000,4000000
C,2018-12-31,16671000000,18088000000,0,0,42055000000,65500000000,5357000000,,23445000000,0,65500000000,32216000000,18045000000,23445000000,,9839000000,854000000,8000000
C,2017-12-31,8048000000,6627000000,331000000,0,42180000000,65272000000,29388000000,,23092000000,0,65272000000,32151000000,6798000000,22761000000,,10029000000,932000000,111000000
C,2016-12-31,13640000000,15033000000,0,0,42571000000,64048000000,6444000000,,21477000000,0,64048000000,31845000000,14912000000,21477000000,,10726000000,1023000000,58000000
C,2020-03-31,2210000000,2534000000,0,0,11171000000,14281000000,576000000,,3110000000,0,14281000000,8270000000,2522000000,3110000000,,651000000,2901000000,18000000
