stock,endDate,accountsPayable,inventory,longTermDebt,netReceivables,netTangibleAssets,longTermInvestments,totalCurrentAssets,propertyPlantEquipment,otherStockholderEquity,deferredLongTermAssetCharges,totalCurrentLiabilities,cash,otherAssets,treasuryStock,goodWill,otherLiab,retainedEarnings,otherCurrentAssets,commonStock,totalAssets,otherCurrentLiab,deferredLongTermLiab,totalStockholderEquity,totalLiab,capitalSurplus,intangibleAssets,shortTermInvestments,shortLongTermDebt,minorityInterest
ABT,2019-12-31,3252000000,4316000000,16661000000,5425000000,9132000000,585000000,15667000000,8972000000,8465000000,2097000000,10863000000,3860000000,2443000000,18612000000,23195000000,8307000000,25847000000,148000000,23853000000,67887000000,861000000,,31088000000,36586000000,,17025000000,280000000,1277000000,213000000
ABT,2019-09-30,3029000000,4392000000,17639000000,5450000000,8694000000,618000000,16119000000,8706000000,7763000000,2255000000,10491000000,4091000000,2585000000,17394000000,23046000000,7688000000,25440000000,298000000,23771000000,68539000000,729000000,,31817000000,36520000000,,17465000000,244000000,1254000000,202000000
ABT,2019-06-30,3222000000,4352000000,18982000000,5548000000,9734000000,531000000,15195000000,8675000000,7365000000,2286000000,9062000000,3137000000,2606000000,17024000000,23329000000,7819000000,25045000000,179000000,23665000000,68427000000,728000000,,31686000000,36533000000,,18091000000,239000000,8000000,208000000
ADBE,2019-11-29,209499000,,988924000,1534809000,1881609000,,6494925000,1293015000,188034000,,8190938000,2650221000,562696000,10803268000,10691199000,1052383000,14828562000,187829000,61000,20762400000,3465871000,,10530155000,10232245000,6504800000,1720565000,1526755000,,
ADBE,2018-11-30,186258000,,4134544000,1315578000,3287935000,,4857039000,1075072000,148130000,,4301126000,1642775000,186522000,8138881000,10581048000,970898000,11815597000,44259000,61000,18768682000,2952499000,,9362114000,9406568000,5685337000,2069001000,1586187000,,
ADBE,2017-12-01,113538000,,1882479000,1217968000,2252650000,,7247813000,936976000,111821000,,3527457000,2306072000,143548000,6196257000,5821561000,665751000,9573870000,14198000,61000,14535556000,2421744000,,8459869000,6075687000,5082195000,385658000,3513702000,,
ADBE,2016-12-02,88024000,,1892200000,833033000,1603956000,,5839774000,816264000,173602000,,2811635000,1011315000,207212000,5306074000,5406474000,568576000,8114517000,38112000,61000,12697246000,1989227000,,7424835000,5272411000,4616331000,414405000,3749985000,,
ADBE,2020-05-29,289000000,,4114000000,1366000000,1349000000,,6649000000,1876000000,195000000,,5164000000,3044000000,848000000,12439000000,10695000000,946000000,16428000000,,,21603000000,3487000000,,10881000000,10722000000,6892000000,1535000000,1307000000,,
ADBE,2020-02-28,265000000,,4113000000,1389000000,1852000000,,6455000000,1844000000,189000000,,5228000000,2688000000,598000000,11590000000,10691000000,894000000,15390000000,,,21214000000,3768000000,,10465000000,10749000000,6665000000,1626000000,1483000000,,
ADBE,2019-11-29,209499000,,988924000,1534809000,1881609000,,6494925000,1293015000,188034000,,8190938000,2650221000,562696000,10803268000,10691199000,1052383000,14828562000,,,20762400000,3465871000,,10530155000,10232245000,6504800000,1720565000,1526755000,,
ADBE,2019-08-30,186999000,,988900000,1371697000,2260920000,,5750096000,1244011000,193949000,,7802966000,2209047000,557080000,10068601000,10688068000,1020241000,13976701000,,,20054880000,3225419000,,10242773000,9812107000,6334612000,1815625000,1441741000,,
ADI,2019-11-02,225270000,609886000,5192252000,635136000,4764916000,30170000,1985126000,1219989000,187799000,1582382000,1508632000,648322000,1683252000,187799000,12256880000,2982569000,6899253000,,61385000,21392641000,479317000,,11709188000,9683453000,4936349000,4217224000,,,
ADI,2018-11-03,260919000,586760000,6265674000,639717000,5762623000,30166000,2112126000,1154328000,58440000,9665000,1051748000,816591000,110950000,58440000,12252604000,1852771000,5982697000,,61694000,20438366000,253761000,,11268173000,9170193000,5282222000,4778192000,,,
