Symbol,Nombre oficial,Sector,Subsector,Security Name,Country
SPIL,"Siliconware Precision Industries Company, Ltd.",,,"Siliconware Precision Industries Company, Ltd. - ADS represents common shares",United States
SPKE,"Spark Energy, Inc.",,,"Spark Energy, Inc. - Class A Common Stock",United States
SPLK,SPLUNK INC.,Information Technology,Software & IT Services,Splunk Inc. - Common Stock,United States
SPLS,"Staples, Inc.",,,"Staples, Inc. - Common Stock",United States
SPNC,The Spectranetics Corporation,,,The Spectranetics Corporation - Common Stock,France
SPNS,Sapiens Intl,Information Technology,Software & IT Services,Sapiens International Corporation N.V. - Common Shares,Curacao
SPOK,Spok Holdings,Communication Services,Telecommunications Services,"Spok Holdings, Inc. - Common Stock",United States
SPPI,Spectrum Pharma,Health Care,Biotechnology & Medical Research,"Spectrum Pharmaceuticals, Inc. - Common Stock",United States
SPPR,"Supertel Hospitality, Inc.",,,"Supertel Hospitality, Inc. - Common Stock",United States
SPPRO,"Supertel Hospitality, Inc.",,,"Supertel Hospitality, Inc. - Series B Cumulative Preferred Stock",United States
SPPRP,"Supertel Hospitality, Inc.",,,"Supertel Hospitality, Inc. - Series A Convertible Preferred Stock",United States
SPRO,Spero,Health Care,Biotechnology & Medical Research,SmartPros Ltd. - Common Stock,United States
SPRT,"support.com, Inc.",,,"support.com, Inc. - Common Stock",United States
SPSC,SPS Commerce,Information Technology,Software & IT Services,"SPS Commerce, Inc. - Common Stock",United States
SPTN,SpartanNash,Consumer Staples,Food & Drug Retailing,SpartanNash Company - Common Stock,United States
SPU,SNAP-ON INCORPORATED,Industrials,"Machinery, Equipment & Components","SkyPeople Fruit Juice, Inc. - Common Stock",United States
SPWH,Sportsmans,Consumer Staples,Specialty Retailers,"Sportsman's Warehouse Holdings, Inc. - Common Stock",United States
SPWR,SunPower,Energy,Renewable Energy,SunPower Corporation - Common Stock,United States
SQBG,"Sequential Brands Group, Inc.",,,"Sequential Brands Group, Inc. - Common Stock",United States
SQBK,"Square 1 Financial, Inc.",,,"Square 1 Financial, Inc. - Class A Common Stock",United States
SQI,Sqli,Information Technology,Software & IT Services,"SciQuest, Inc. - Common Stock",United States
SQNM,"Sequenom, Inc.",,,"Sequenom, Inc. - Common Stock",United States
SQQQ,ProShares UltraPro Short QQQ,,,ProShares UltraPro Short QQQ,United States
SRCE,1st Source,Financials,Banking Services,1st Source Corporation - Common Stock,United States
SRCL,Stericycle,Utilities,Professional & Commercial Services,"Stericycle, Inc. - Common Stock",United States
SRDX,Surmodics,Health Care,Healthcare Equipment & Supplies,"SurModics, Inc. - Common Stock",United States
SRE,Sempra Energy,Utilities,,Sempra Energy Common Stock,United States
SREV,ServiceSource,Information Technology,Software & IT Services,"ServiceSource International, Inc. - Common Stock",United States
SRNE,Sorrento Thera,Health Care,Biotechnology & Medical Research,"Sorrento Therapeutics, Inc. - Common Stock",United States
SRPT,Sarepta,Health Care,Biotechnology & Medical Research,"Sarepta Therapeutics, Inc. - Common Stock",United States
SRSC,Sears Canada Inc.,,,Sears Canada Inc.  - Common Shares,Canada
SSB,SouthState,Financials,Banking Services,South State Corporation - Common Stock,United States
SSBI,Summit State Bnk,Financials,Banking Services,Summit State Bank - Common Stock,United States
SSFN,Stewardship Financial Corp,,,Stewardship Financial Corp - Common Stock,United States
SSH,Sued Salzwerke,Energy,Chemicals,Sunshine Heart Inc - Common Stock,United States
SSNC,"SS&C TECHNOLOGIES HOLDINGS, INC.",Information Technology,Software & IT Services,"SS&C Technologies Holdings, Inc. - Common Stock",United States
SSRG,Symmetry Surgical Inc.,,,Symmetry Surgical Inc. - Common Stock,United States
SSRI,Silver Standard Resources Inc.,,,Silver Standard Resources Inc. - Common Stock,United States
SSYS,STRATASYS LTD,Industrials,Electronic Equipment & Parts,"Stratasys, Ltd. - Common Stock",United States
STAA,STAAR Surgical,Health Care,Healthcare Equipment & Supplies,STAAR Surgical Company - Common Stock,United States
STB,Shurgard Self,Real Estate,Real Estate Operations,Student Transportation Inc - Common shares,United States
STBA,S&T Bancorp,Financials,Banking Services,"S&T Bancorp, Inc. - Common Stock",United States
STBZ,State Bank Financial Corporation.,,,State Bank Financial Corporation. - Common Stock,United States
STCK,Stack Capital,Financials,Holding Companies,"Stock Building Supply Holdings, Inc. - Common Stock",United States
STE,STERIS,Health Care,Healthcare Equipment & Supplies,STERIS plc (Ireland) Ordinary Shares,United States
STEM,Stem,Industrials,"Machinery, Equipment & Components","StemCells, Inc. - Common Stock",United States
STFC,State Auto Financial Corporation,,,State Auto Financial Corporation - Common Stock,United States
STKL,Sunopta,Consumer Staples,Food & Tobacco,"SunOpta, Inc. - Common Stock",Canada
STLD,"STEEL DYNAMICS, INC.",Metals & Mining,Metals & Mining,"Steel Dynamics, Inc. - Common Stock",United States
