Symbol,Nombre oficial,Sector,Subsector,Security Name,Country
A,"AGILENT TECHNOLOGIES, INC.",Health Care,Healthcare Equipment & Supplies,Agilent Technologies Inc. Common Stock,United States
AAIT,iShares MSCI All Country Asia Information Technology Index Fund,,,iShares MSCI All Country Asia Information Technology Index Fund,Australia
AAL,AMERICAN AIRLINES GROUP INC.,Utilities,Passenger Transportation Services,"American Airlines Group, Inc. - Common Stock",United States
AAME,Atlantic Amer,Financials,Insurance,Atlantic American Corporation - Common Stock,United States
AAOI,AOI,Industrials,Electronic Equipment & Parts,"Applied Optoelectronics, Inc. - Common Stock",United States
AAON,AAON,Industrials,"Machinery, Equipment & Components","AAON, Inc. - Common Stock",United States
AAP,"ADVANCE AUTO PARTS, INC.",Consumer Staples,Specialty Retailers,Advance Auto Parts Inc Advance Auto Parts Inc W/I,United States
AAPL,APPLE INC.,Information Technology,"Computers, Phones & Household Electronics",Apple Inc. - Common Stock,United States
AAVL,"Avalanche Biotechnologies, Inc.",,,"Avalanche Biotechnologies, Inc. - Common Stock",Australia
AAWW,Atlas Air WW,Utilities,Freight & Logistics Services,Atlas Air Worldwide Holdings - Common Stock,United States
AAXJ,iShares MSCI All Country Asia ex Japan Index Fund,,,iShares MSCI All Country Asia ex Japan Index Fund,United States
ABAC,"Aoxin Tianli Group, Inc.",,,"Aoxin Tianli Group, Inc. - Common Shares",United States
ABAX,"ABAXIS, Inc.",,,"ABAXIS, Inc. - Common Stock",Germany
ABBV,ABBVIE INC.,Health Care,Pharmaceuticals,AbbVie Inc. Common Stock,United States
ABC,AmerisourceBergen Corp,Health Care,,AmerisourceBergen Corporation Common Stock,United States
ABCB,Ameris,Financials,Banking Services,Ameris Bancorp - Common Stock,United States
ABCD,"Cambium Learning Group, Inc.",,,"Cambium Learning Group, Inc. - Common Stock",India
ABCO,The Advisory Board Company,,,The Advisory Board Company - Common Stock,India
ABCW,Anchor BanCorp Wisconsin Inc.,,,Anchor BanCorp Wisconsin Inc. - Common Stock,India
ABDC,Alcentra Capital Corp.,,,Alcentra Capital Corp. - Common Stock,Argentina
ABGB,"Abengoa, S.A.",,,"Abengoa, S.A. - American Depositary Shares",Taiwan
ABIO,ARCA,Health Care,Biotechnology & Medical Research,"ARCA biopharma, Inc. - Common Stock",United States
ABMD,"ABIOMED, INC.",Health Care,Healthcare Equipment & Supplies,"ABIOMED, Inc. - Common Stock",United States
ABT,ABBOTT LABORATORIES,Health Care,Healthcare Equipment & Supplies,Abbott Laboratories Common Stock,United States
ABTL,Autobytel Inc.,,,Autobytel Inc. - Common Stock,Sweden
ABY,Adore Beauty,Consumer Staples,Diversified Retail,Abengoa Yield plc - Ordinary Shares,Austria
ACAD,ACADIA Pharm,Health Care,Biotechnology & Medical Research,ACADIA Pharmaceuticals Inc. - Common Stock,United States
ACAS,"American Capital, Ltd.",,,"American Capital, Ltd. - Common Stock",Norway
ACAT,Arctic Cat Inc.,,,Arctic Cat Inc. - Common Stock,United States
ACET,Adicet Bio,Health Care,Biotechnology & Medical Research,Aceto Corporation - Common Stock,United States
ACFC,Atlantic Coast Financial Corporation,,,Atlantic Coast Financial Corporation - Common Stock,France
ACFN,Acorn Energy,Information Technology,Software & IT Services,"Acorn Energy, Inc. - Common Stock",Germany
ACGL,Arch Capital Grp,Financials,Insurance,Arch Capital Group Ltd. - Common Stock,Bermuda
ACHC,Acadia Health,Health Care,Healthcare Providers & Services,"Acadia Healthcare Company, Inc. - Common Stock",United States
ACHN,Achison,Information Technology,Software & IT Services,"Achillion Pharmaceuticals, Inc. - Common Stock",France
ACIW,ACI World,Information Technology,Financial Technology (Fintech) & Infrastructure,"ACI Worldwide, Inc. - Common Stock",United States
ACLS,Axcelis Tech,Information Technology,Semiconductors & Semiconductor Equipment,"Axcelis Technologies, Inc. - Common Stock",United States
ACN,ACCENTURE PUBLIC LIMITED COMPANY,Information Technology,Software & IT Services,Accenture plc Class A Ordinary Shares (Ireland),Ireland
ACNB,ACNB,Financials,Banking Services,ACNB Corporation - Common Stock,United States
ACOR,Acorda,Health Care,Biotechnology & Medical Research,"Acorda Therapeutics, Inc. - Common Stock",United States
ACPW,"Active Power, Inc.",,,"Active Power, Inc. - Common Stock",Thailand
ACRX,Acelrx Pharma,Health Care,Biotechnology & Medical Research,"AcelRx Pharmaceuticals, Inc. - Common Stock",United States
ACSF,"American Capital Senior Floating, Ltd.",,,"American Capital Senior Floating, Ltd. - Common Stock",Germany
ACST,Acasti Pharma,Health Care,Pharmaceuticals,"Acasti Pharma, Inc. - Class A Common Stock",Canada
ACTA,Actua Corporation,,,Actua Corporation - Common Stock,Germany
ACTG,Acacia Rsrch,Utilities,Professional & Commercial Services,Acacia Research Corporation - Common Stock,United States
ACTS,"Actions Semiconductor Co., Ltd.",,,"Actions Semiconductor Co., Ltd. - American Depositary Shares, each representing Six Ordinary Shares",Belgium
ACUR,Acura Pharm,Health Care,Biotechnology & Medical Research,"Acura Pharmaceuticals, Inc. - Common Stock",United States
ACWI,iShares MSCI ACWI Index Fund,,,iShares MSCI ACWI Index Fund,South Korea
ACWX,iShares MSCI ACWI ex US Index Fund,,,iShares MSCI ACWI ex US Index Fund,Singapore
ACXM,Acxiom Corporation,,,Acxiom Corporation - Common Stock,United Kingdom
ADAT,Authentidate Holding Corp.,,,Authentidate Holding Corp. - Common Stock,Thailand
ADBE,ADOBE INC.,Information Technology,Software & IT Services,Adobe Systems Incorporated - Common Stock,United States
ADEP,"Adept Technology, Inc.",,,"Adept Technology, Inc. - Common Stock",Sweden
ADES,ADA,Utilities,Professional & Commercial Services,"Advanced Emissions Solutions, Inc. - Common Stock",United States
ADHD,Alcobra Ltd.,,,Alcobra Ltd. - Ordinary Shares,Germany
ADI,"ANALOG DEVICES, INC.",Information Technology,Semiconductors & Semiconductor Equipment,"Analog Devices, Inc. - Common Stock",United States
ADM,ARCHER-DANIELS-MIDLAND COMPANY,Consumer Staples,Food & Tobacco,Archer-Daniels-Midland Company Common Stock,United States
ADMA,ADMA Biologics,Health Care,Pharmaceuticals,ADMA Biologics Inc - Common Stock,United States
ADMP,Adamis Pharma,Health Care,Pharmaceuticals,Adamis Pharmaceuticals Corporation - Common Stock,United States
ADMS,"Adamas Pharmaceuticals, Inc.",,,"Adamas Pharmaceuticals, Inc. - Common Stock",United States
ADNC,"Audience, Inc.",,,"Audience, Inc. - Common Stock",India
ADP,"AUTOMATIC DATA PROCESSING, INC.",Information Technology,Software & IT Services,"Automatic Data Processing, Inc. - Common Stock",United States
ADRA,Adara Acqsn,Financials,Holding Companies,BLDRS Asia 50 ADR Index Fund,South Korea
ADRD,BLDRS Developed Markets 100 ADR Index Fund,,,BLDRS Developed Markets 100 ADR Index Fund,United States
ADRE,BLDRS Emerging Markets 50 ADR Index Fund,,,BLDRS Emerging Markets 50 ADR Index Fund,United States
ADRU,BLDRS Europe 100 ADR Index Fund,,,BLDRS Europe 100 ADR Index Fund,Malaysia
ADSK,"AUTODESK, INC.",Information Technology,Software & IT Services,"Autodesk, Inc. - Common Stock",United States
ADTN,ADTRAN,Communication Services,Communications & Networking,"ADTRAN, Inc. - Common Stock",United States
ADUS,Addus Homecare,Health Care,Healthcare Providers & Services,Addus HomeCare Corporation - Common Stock,United States
ADVS,"Advent Software, Inc.",,,"Advent Software, Inc. - Common Stock",United States
ADXS,Advaxis,Health Care,Biotechnology & Medical Research,"Advaxis, Inc. - Common Stock",United States
ADXSW,"Advaxis, Inc.",,,"Advaxis, Inc. - Warrants",Singapore
AEE,Ameren Corp,Utilities,,Ameren Corporation Common Stock,United States
AEGN,Aegon NV,Financials,Insurance,Aegion Corp - Class A Common Stock,United States
AEGR,"Aegerion Pharmaceuticals, Inc.",,,"Aegerion Pharmaceuticals, Inc. - Common Stock",Australia
AEHR,Aehr Test Sys,Information Technology,Semiconductors & Semiconductor Equipment,Aehr Test Systems - Common Stock,United States
AEIS,Advncd Energy,Industrials,"Machinery, Equipment & Components","Advanced Energy Industries, Inc. - Common Stock",United States
AEP,"AMERICAN ELECTRIC POWER COMPANY, INC.",Utilities,Electrical Utilities & IPPs,American Electric Power Company Inc. Common Stock,United States
AEPI,AEP Industries Inc.,,,AEP Industries Inc. - Common Stock,Germany
AERI,Aerie Pharma,Health Care,Pharmaceuticals,"Aerie Pharmaceuticals, Inc. - Common Stock",United States
AES,THE AES CORPORATION,Utilities,Electrical Utilities & IPPs,The AES Corporation Common Stock,United States
AETI,"American Electric Technologies, Inc.",,,"American Electric Technologies, Inc. - Common Stock",Canada
AEY,ADDvantage Tech,Communication Services,Communications & Networking,"ADDvantage Technologies Group, Inc. - Common Stock",United States
AEZS,Aeterna Zentaris,Health Care,Biotechnology & Medical Research,AEterna Zentaris Inc. - Common Stock,Canada
AFAM,Almost Family Inc,,,Almost Family Inc - Common Stock,Germany
AFCB,Athens Bancshares Corporation,,,Athens Bancshares Corporation - Common Stock,Canada
AFFX,"Affymetrix, Inc.",,,"Affymetrix, Inc. - Common Stock",Australia
AFH,Alexander Forbes,Financials,Investment Banking & Investment Services,"Atlas Financial Holdings, Inc. - Ordinary Shares",Germany
AFL,AFLAC INCORPORATED,Financials,Insurance,AFLAC Incorporated Common Stock,United States
AFMD,Affimed,Health Care,Biotechnology & Medical Research,Affimed N.V. - Common Stock,Germany
AFOP,"Alliance Fiber Optic Products, Inc.",,,"Alliance Fiber Optic Products, Inc. - Common Stock",Israel
AFSI,"AmTrust Financial Services, Inc.",,,"AmTrust Financial Services, Inc. - Common Stock",France
AGEN,Agenus,Health Care,Biotechnology & Medical Research,Agenus Inc. - Common Stock,United States
AGII,"Argo Group International Holdings, Ltd.",,,"Argo Group International Holdings, Ltd. - Common Stock",Taiwan
AGIIL,"Argo Group International Holdings, Ltd.",,,"Argo Group International Holdings, Ltd. - 6.5% Senior Notes Due 2042",Taiwan
AGIO,"AGIOS PHARMACEUTICALS, INC.",Health Care,Biotechnology & Medical Research,"Agios Pharmaceuticals, Inc. - Common Stock",United States
AGNC,AGNC INVESTMENT CORP.,Real Estate,Residential & Commercial REIT,American Capital Agency Corp. - Common Stock,United States
AGNCB,American Capital Agency Corp.,,,American Capital Agency Corp. - Depositary Shares representing 1/1000th Series B Preferred Stock,Argentina
AGNCP,AGNC INVESTMENT CORP.,Real Estate,Residential & Commercial REIT,American Capital Agency Corp. - Cumulative Preferred Series A,United States
AGND,WisdomTree Barclays U.S. Aggregate Bond Negative Duration Fund,,,WisdomTree Barclays U.S. Aggregate Bond Negative Duration Fund,Argentina
AGRX,Agile,Health Care,Biotechnology & Medical Research,"Agile Therapeutics, Inc. - Common Stock",United States
AGTC,AGTC,Health Care,Biotechnology & Medical Research,Applied Genetic Technologies Corporation - Common Stock,United States
AGYS,Agilysys,Information Technology,Software & IT Services,"Agilysys, Inc. - Common Stock",United States
AGZD,WisdomTree Barclays U.S. Aggregate Bond Zero Duration Fund,,,WisdomTree Barclays U.S. Aggregate Bond Zero Duration Fund,Germany
AHGP,"Alliance Holdings GP, L.P.",,,"Alliance Holdings GP, L.P. - Common Units Representing Limited Partner Interests",Mexico
AHPI,Allied Hlthcare,Health Care,Healthcare Equipment & Supplies,"Allied Healthcare Products, Inc. - Common Stock",United States
AIG,American International Group,Financials,,American International Group Inc. New Common Stock,United States
AIMC,ALTRA INDUSTRIAL MOTION CORP.,Industrials,"Machinery, Equipment & Components",Altra Industrial Motion Corp. - Common Stock,United States
AINV,Apollo Invstmnt,Financials,Investment Banking & Investment Services,Apollo Investment Corporation - Closed End Fund,United States
AIQ,"Alliance HealthCare Services, Inc.",,,"Alliance HealthCare Services, Inc. - Common Stock",United States
AIRM,Air Methods Corporation,,,Air Methods Corporation - Common Stock,Germany
AIRR,First Trust RBA American Industrial Renaissance ETF,,,First Trust RBA American Industrial Renaissance ETF,Brazil
AIRT,Air T Inc,Utilities,Freight & Logistics Services,"Air T, Inc. - Common Stock",United States
AIV,Aimco,Real Estate,Residential & Commercial REIT,Apartment Investment and Management Company Common Stock,United States
AIXG,Aixtron SE,,,"Aixtron SE - American Depositary Shares, each representing one Ordinary Share",Taiwan
AIZ,Assurant,Financials,Insurance,Assurant Inc. Common Stock,United States
AJG,ARTHUR J. GALLAGHER & CO.,Financials,Insurance,Arthur J. Gallagher & Co. Common Stock,United States
AKAM,Akamai Tech,Information Technology,Software & IT Services,"Akamai Technologies, Inc. - Common Stock",United States
AKAO,"Achaogen, Inc.",,,"Achaogen, Inc. - Common Stock",France
AKBA,Akebia,Health Care,Biotechnology & Medical Research,"Akebia Therapeutics, Inc. - Common Stock",United States
AKER,Aker,Financials,Holding Companies,Akers Biosciences Inc - Common Stock,United States
AKRX,"Akorn, Inc.",,,"Akorn, Inc. - Common Stock",Finland
ALB,ALBEMARLE CORPORATION,Energy,Chemicals,Albemarle Corporation Common Stock,United States
ALCO,Alico,Consumer Staples,Food & Tobacco,"Alico, Inc. - Common Stock",United States
ALDR,Delta Drone,Aerospace & Defense,Aerospace & Defense,"Alder BioPharmaceuticals, Inc. - Common Stock",Taiwan
ALDX,Aldeyra,Health Care,Biotechnology & Medical Research,"Aldeyra Therapeutics, Inc. - Common Stock",United States
ALGN,"ALIGN TECHNOLOGY, INC.",Health Care,Healthcare Equipment & Supplies,"Align Technology, Inc. - Common Stock",United States
ALGT,Allegiant Tr,Utilities,Passenger Transportation Services,Allegiant Travel Company - Common Stock,United States
ALIM,Alimera Sciences,Health Care,Pharmaceuticals,"Alimera Sciences, Inc. - Common Stock",United States
ALK,Alaska Air Group,Utilities,Passenger Transportation Services,Alaska Air Group Inc. Common Stock,United States
ALKS,Alkermes,Health Care,Biotechnology & Medical Research,Alkermes plc - Ordinary Shares,Ireland
ALL,Allstate Corp,Financials,,Allstate Corporation (The) Common Stock,United States
ALLB,"Alliance Bancorp, Inc. of Pennsylvania",,,"Alliance Bancorp, Inc. of Pennsylvania - Common Stock",Argentina
ALLE,ALLEGION PUBLIC LIMITED COMPANY,Communication Services,Communications & Networking,Allegion plc Ordinary Shares,United States
ALLT,Allot,Real Estate,Hotels & Entertainment Services,Allot Communications Ltd. - Ordinary Shares,Israel
ALNY,"ALNYLAM PHARMACEUTICALS, INC.",Health Care,Biotechnology & Medical Research,"Alnylam Pharmaceuticals, Inc. - Common Stock",United States
ALOG,Analogic Corporation,,,Analogic Corporation - Common Stock,Thailand
ALOT,AstroNova,Information Technology,"Computers, Phones & Household Electronics","Astro-Med, Inc. - Common Stock",United States
ALQA,"Alliqua, Inc.",,,"Alliqua, Inc. - Common Stock",Germany
ALSK,"Alaska Communications Systems Group, Inc.",,,"Alaska Communications Systems Group, Inc. - Common Stock",United States
ALTR,Altair Eng,Information Technology,Software & IT Services,Altera Corporation - Common Stock,United States
ALXA,"Alexza Pharmaceuticals, Inc.",,,"Alexza Pharmaceuticals, Inc. - Common Stock",France
ALXN,"Alexion Pharmaceuticals, Inc.",Health Care,,"Alexion Pharmaceuticals, Inc. - Common Stock",United States
AMAG,AMAG Austria,Metals & Mining,Metals & Mining,"AMAG Pharmaceuticals, Inc. - Common Stock",Germany
AMAT,"APPLIED MATERIALS, INC.",Information Technology,Semiconductors & Semiconductor Equipment,"Applied Materials, Inc. - Common Stock",United States
AMBA,AMBARELLA INC,Information Technology,Semiconductors & Semiconductor Equipment,"Ambarella, Inc. - Ordinary Shares",United States
AMBC,AMBAC Finl Grp,Financials,Insurance,"Ambac Financial Group, Inc. - Common Stock",United States
AMBCW,"Ambac Financial Group, Inc.",,,"Ambac Financial Group, Inc. - Warrants",France
AMCC,Applied Micro Circuits Corporation,,,Applied Micro Circuits Corporation - Common Stock,France
AMCF,Andatee China,Energy,Oil & Gas,Andatee China Marine Fuel Services Corporation - Common Stock,France
AMCN,AirMedia Group Inc,,,"AirMedia Group Inc - American Depositary Shares, each representing two ordinary shares",France
AMCX,AMC NETWORKS INC.,Utilities,Media & Publishing,AMC Networks Inc. - Class A Common Stock,United States
AMD,"ADVANCED MICRO DEVICES, INC.",Information Technology,Semiconductors & Semiconductor Equipment,"Advanced Micro Devices, Inc. - Common Stock",United States
AMDA,Amedica Corporation,,,Amedica Corporation - Common Stock,Hong Kong
AME,"AMETEK, INC.",Industrials,"Machinery, Equipment & Components",AMETEK Inc.,United States
AMED,"AMEDISYS, INC.",Health Care,Healthcare Providers & Services,Amedisys Inc - Common Stock,United States
AMGN,AMGEN INC.,Health Care,Pharmaceuticals,Amgen Inc. - Common Stock,United States
AMIC,American Independence Corp.,,,American Independence Corp. - Common Stock,Spain
AMKR,Amkor Technology,Information Technology,Semiconductors & Semiconductor Equipment,"Amkor Technology, Inc. - Common Stock",United States
AMNB,Amer Natl Bkshr,Financials,Banking Services,"American National Bankshares, Inc. - Common Stock",United States
AMOT,Allied Motion,Industrials,"Machinery, Equipment & Components","Allied Motion Technologies, Inc. - Common Stock",United States
AMOV,"AMÉRICA MÓVIL, S.A.B. DE C.V.",Communication Services,Telecommunications Services,"America Movil, S.A.B. de C.V. - American Depositary Shares, each representing 20 A Shares",Mexico
AMP,Ameriprise Financial,Financials,,Ameriprise Financial Inc. Common Stock,United States
AMPH,Amphastar Pharms,Health Care,Pharmaceuticals,"Amphastar Pharmaceuticals, Inc. - Common Stock",United States
AMRB,American River Bankshares,,,American River Bankshares - Common Stock,United States
AMRI,"Albany Molecular Research, Inc.",,,"Albany Molecular Research, Inc. - Common Stock",Belgium
AMRK,A-Mark Precious,Metals & Mining,Metals & Mining,"A-Mark Precious Metals, Inc. - Common Stock",United States
AMRN,Amarin,Health Care,Biotechnology & Medical Research,"Amarin Corporation plc - American Depositary Shares, each representing one Ordinary Share",Ireland
AMRS,Amyris,Energy,Chemicals,"Amyris, Inc. - Common Stock",United States
AMSC,Amer Superconduc,Industrials,"Machinery, Equipment & Components",American Superconductor Corporation - Common Stock,United States
AMSF,Amerisafe,Financials,Insurance,"AMERISAFE, Inc. - Common Stock",United States
AMSG,Amsurg Corp.,,,Amsurg Corp. - Common Stock,India
AMSGP,Amsurg Corp.,,,"Amsurg Corp. - 5.250% Mandatory Convertible Preferred Stock, Series A-1",India
AMSWA,Amer Software,Information Technology,Software & IT Services,"American Software, Inc. - Class A Common Stock",United States
AMT,AMERICAN TOWER CORPORATION,Real Estate,Residential & Commercial REIT,American Tower Corporation (REIT) Common Stock,United States
AMTX,Aemetis,Energy,Renewable Energy,"Aemetis, Inc - Common Stock",United States
AMWD,Amer Woodmark,Real Estate,Homebuilding & Construction Supplies,American Woodmark Corporation - Common Stock,United States
AMZN,"AMAZON.COM, INC.",Consumer Staples,Diversified Retail,"Amazon.com, Inc. - Common Stock",United States
ANAC,Arctos Northstar,Financials,Holding Companies,"Anacor Pharmaceuticals, Inc. - Common Stock",Taiwan
ANAD,"ANADIGICS, Inc.",,,"ANADIGICS, Inc. - Common Stock",United States
ANAT,American National Insurance Company,,,American National Insurance Company - Common Stock,United States
ANCB,Anchor Bancorp,,,Anchor Bancorp - Common Stock,India
ANCI,American Caresource Holdings Inc,,,American Caresource Holdings Inc - Common Stock,France
ANCX,Access National Corporation,,,Access National Corporation - Common Stock,France
ANDE,Andersons,Consumer Staples,Food & Tobacco,"The Andersons, Inc. - Common Stock",United States
ANET,"ARISTA NETWORKS, INC.",Communication Services,Communications & Networking,"Arista Networks, Inc. Common Stock",Germany
ANGI,Angi,Information Technology,Software & IT Services,"Angie's List, Inc. - Common Stock",United States
ANGO,AngioDynamics,Health Care,Healthcare Equipment & Supplies,"AngioDynamics, Inc. - Common Stock",United States
ANIK,Anika Thptc,Health Care,Pharmaceuticals,Anika Therapeutics Inc. - Common Stock,United States
ANIP,ANI Pharma,Health Care,Pharmaceuticals,"ANI Pharmaceuticals, Inc. - Common Stock",United States
ANSS,"ANSYS, INC.",Information Technology,Software & IT Services,"ANSYS, Inc. - Common Stock",United States
ANTH,Anthera,Health Care,Biotechnology & Medical Research,"Anthera Pharmaceuticals, Inc. - Common Stock",France
ANTM,Anthem,Health Care,,Anthem Inc. Common Stock,United States
ANY,Sphre 3D,Information Technology,Financial Technology (Fintech) & Infrastructure,Sphere 3D Corp - Common Shares,Canada
AON,Aon plc,Financials,Insurance,Aon plc Class A Ordinary Shares (Ireland),United States
AOS,A. O. SMITH CORPORATION,Industrials,"Machinery, Equipment & Components",A.O. Smith Corporation Common Stock,United States
AOSL,Alpha and Omega,Information Technology,Semiconductors & Semiconductor Equipment,Alpha and Omega Semiconductor Limited - Common Shares,Bermuda
APA,APA CORPORATION,Energy,Oil & Gas,APA Corporation Common Stock,United States
APD,"AIR PRODUCTS AND CHEMICALS, INC.",Energy,Chemicals,Air Products and Chemicals Inc. Common Stock,United States
APDN,Applied DNA,Energy,Chemicals,Applied DNA Sciences Inc - Common Stock,United States
APDNW,Applied DNA Sciences Inc,,,Applied DNA Sciences Inc - Warrant,Canada
APEI,APEI,Utilities,Miscellaneous Educational Service Providers,"American Public Education, Inc. - Common Stock",United States
APH,AMPHENOL CORPORATION,Industrials,Electronic Equipment & Parts,Amphenol Corporation Common Stock,United States
APOG,Apogee,Real Estate,Homebuilding & Construction Supplies,"Apogee Enterprises, Inc. - Common Stock",United States
APOL,"Apollo Education Group, Inc.",,,"Apollo Education Group, Inc. - Class A Common Stock",United States
APPY,"Venaxis, Inc.",,,"Venaxis, Inc. - Common Stock",Sweden
APRI,"Apricus Biosciences, Inc",,,"Apricus Biosciences, Inc - Common Stock",France
APSA,Alto Palermo S.A.,,,"Alto Palermo S.A. - American Depository Shares, each representing forty shares of Common Stock",Germany
APTO,Aptose Bio,Health Care,Biotechnology & Medical Research,"Aptose Biosciences, Inc. - Common Shares",Canada
APTV,APTIV PLC,Industrials,Automobiles & Auto Parts,Aptiv PLC Ordinary Shares,United Kingdom
APWC,APWC,Industrials,"Machinery, Equipment & Components","Asia Pacific Wire & Cable Corporation Limited - Common shares, Par value .01 per share",Taiwan
AQXP,"Aquinox Pharmaceuticals, Inc.",,,"Aquinox Pharmaceuticals, Inc. - Common Stock",United States
ARAY,Accuray,Health Care,Healthcare Equipment & Supplies,Accuray Incorporated - Common Stock,United States
ARCB,ArcBest,Utilities,Freight & Logistics Services,ArcBest Corporation - Common Stock,United States
ARCC,Ares Capital,Financials,Collective Investments,Ares Capital Corporation - Closed End Fund,United States
ARCI,Archi Indonesia,Metals & Mining,Metals & Mining,"Appliance Recycling Centers of America, Inc. - Common Stock",France
ARCP,"American Realty Capital Properties, Inc.",,,"American Realty Capital Properties, Inc. - Common Stock",Brazil
ARCPP,"American Realty Capital Properties, Inc.",,,"American Realty Capital Properties, Inc. - 6.70% Series F Cumulative Redeemable Preferred Stock",Brazil
ARCW,ARC Grp Wrldwde,Industrials,"Machinery, Equipment & Components","ARC Group Worldwide, Inc. - Common Stock",Canada
ARDM,AERODROME GROUP,Utilities,Media & Publishing,Aradigm Corporation - Common Stock,United States
ARDX,Ardelyx,Health Care,Biotechnology & Medical Research,"Ardelyx, Inc. - Common Stock",United States
ARE,"ALEXANDRIA REAL ESTATE EQUITIES, INC.",Real Estate,Residential & Commercial REIT,Alexandria Real Estate Equities Inc. Common Stock,United States
AREX,Approach Resources Inc.,,,Approach Resources Inc. - Common Stock,Germany
ARGS,"Argos Therapeutics, Inc.",,,"Argos Therapeutics, Inc. - Common Stock",United States
ARIA,"ARIAD Pharmaceuticals, Inc.",,,"ARIAD Pharmaceuticals, Inc. - Common Stock",Germany
ARII,Atlas Resources,Energy,Coal,"American Railcar Industries, Inc. - Common Stock",Germany
ARIS,Aris Water Solut,Utilities,Oil & Gas Related Equipment and Services,"ARI Network Services, Inc. - Common Stock",United States
ARKR,Ark Restaurants,Real Estate,Hotels & Entertainment Services,Ark Restaurants Corp. - Common Stock,United States
ARLP,"Alliance Resource Partners, L.P.",,,"Alliance Resource Partners, L.P. - Common Units Representing Limited Partnership Interests",United States
ARMH,ARM Holdings plc,,,ARM Holdings plc - American Depositary Shares each representing 3 Ordinary Shares,Germany
ARNA,Arwana Citra,Real Estate,Homebuilding & Construction Supplies,"Arena Pharmaceuticals, Inc. - Common Stock",United States
AROW,Arrow Financial,Financials,Banking Services,Arrow Financial Corporation - Common Stock,United States
ARQL,"ArQule, Inc.",,,"ArQule, Inc. - Common Stock",United States
ARRS,"ARRIS Group, Inc.",,,"ARRIS Group, Inc. - Common Stock",France
ARRY,Array Tech,Energy,Renewable Energy,Array BioPharma Inc. - Common Stock,United States
ARTNA,Artesian Rsc,Utilities,Water Utilities,Artesian Resources Corporation - Class A Non-Voting Common Stock,United States
ARTW,Art's-Way Mf,Industrials,"Machinery, Equipment & Components","Art's-Way Manufacturing Co., Inc. - Common Stock",United States
ARTX,Arotech Corporation,,,Arotech Corporation - Common Stock,United States
ARUN,"Aruba Networks, Inc.",,,"Aruba Networks, Inc. - Common Stock",United Kingdom
ARWR,Arrowhead Pharms,Health Care,Biotechnology & Medical Research,Arrowhead Research Corporation - Common Stock,United States
ASBB,"ASB Bancorp, Inc.",,,"ASB Bancorp, Inc. - Common Stock",United States
ASBI,Asuransi Bintang,Financials,Insurance,Ameriana Bancorp - Common Stock,United States
ASCMA,"Ascent Capital Group, Inc.",,,"Ascent Capital Group, Inc. - Series A Common Stock",United States
ASEI,"American Science and Engineering, Inc.",,,"American Science and Engineering, Inc. - Common Stock",United States
ASFI,"Asta Funding, Inc.",,,"Asta Funding, Inc. - Common Stock",United States
ASMB,Assembly,Health Care,Pharmaceuticals,"Assembly Biosciences, Inc. - Common Stock",United States
ASMI,ASM International N.V.,,,ASM International N.V. - Common Shares,Germany
ASML,ASML Holding NV,Information Technology,Semiconductors & Semiconductor Equipment,ASML Holding N.V. - ADS represents 1 ordinary share,Netherlands
ASNA,"Ascena Retail Group, Inc.",,,"Ascena Retail Group, Inc. - Common Stock",Brazil
ASPS,Altisource,Real Estate,Real Estate Operations,Altisource Portfolio Solutions S.A. - Common Stock,Luxembourg
ASPX,"Auspex Pharmaceuticals, Inc.",,,"Auspex Pharmaceuticals, Inc. - Common Stock",United States
ASRV,AmeriServ Finl,Financials,Banking Services,AmeriServ Financial Inc. - Common Stock,United States
ASRVP,AmeriServ Financial Inc.,,,"AmeriServ Financial Inc. - AmeriServ Financial Trust I - 8.45% Beneficial Unsecured Securities, Series A",United States
ASTC,Astrotech,Aerospace & Defense,Aerospace & Defense,Astrotech Corporation - Common Stock,United States
ASTE,Astec Industries,Industrials,"Machinery, Equipment & Components","Astec Industries, Inc. - Common Stock",United States
ASTI,Ascent Solar,Energy,Renewable Energy,"Ascent Solar Technologies, Inc. - Common Stock",France
ASUR,Asure Softwr,Information Technology,Software & IT Services,Asure Software Inc - Common Stock,United States
ASYS,Amtech Systems,Information Technology,Semiconductors & Semiconductor Equipment,"Amtech Systems, Inc. - Common Stock",United States
ATAI,Atai Life Scien,Health Care,Biotechnology & Medical Research,"ATA Inc. - American Depositary Shares, each representing two common shares",Germany
ATAX,"America First Multifamily Investors, L.P.",,,"America First Multifamily Investors, L.P. - Beneficial Unit Certificates (BUCs) representing Limited Partnership Interests",United States
ATEA,"Astea International, Inc.",,,"Astea International, Inc. - Common Stock",India
ATEC,Alphatec Hldg,Health Care,Healthcare Equipment & Supplies,"Alphatec Holdings, Inc. - Common Stock",United States
ATHN,"athenahealth, Inc.",,,"athenahealth, Inc. - Common Stock",China
ATHX,Athersys,Health Care,Biotechnology & Medical Research,"Athersys, Inc. - Common Stock",United States
ATLC,Atlanticus Hldg,Financials,Banking Services,Atlanticus Holdings Corporation - Common Stock,United States
ATLO,Ames National,Financials,Banking Services,Ames National Corporation - Common Stock,United States
ATML,Atmel Corporation,,,Atmel Corporation - Common Stock,South Korea
ATNI,"ATN INTERNATIONAL, INC.",Communication Services,Telecommunications Services,"Atlantic Tele-Network, Inc. - Common Stock",United States
